respondent_id,survey_year,age,gender,country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
14,2021,29,Female,United States,No,Yes,Yes,Sometimes,6-25,No,Yes,No,Don't know,No,No,Yes,Don't know,Maybe,No,No,Some of them,Maybe,No,Don't know,No,Anonymous reporting would increase participation.
15,2021,32,Female,United States,No,No,No,Often,100-500,No,Yes,Yes,Don't know,No,No,Don't know,Somewhat difficult,No,No,Yes,No,Yes,No,No,No,We have EAP but nobody talks about it.
16,2021,32,Male,Canada,No,No,Yes,Never,More than 1000,Yes,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,Yes,No,No,No,Maybe,Don't know,Yes,Better awareness programs needed.
17,2022,26,Female,United States,No,No,No,Never,1-5,Yes,Yes,Don't know,Don't know,No,No,Yes,Somewhat easy,No,No,No,No,No,Maybe,Don't know,No,Burnout is rampant in my team.
18,2022,18,Male,Canada,No,Yes,No,Never,26-100,Yes,No,Don't know,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Yes,No,No,Yes,No,No,
19,2021,28,Female,Canada,No,No,Yes,Sometimes,100-500,Yes,No,Don't know,No,Yes,Yes,Don't know,Very easy,No,Maybe,No,No,No,No,No,No,
20,2024,26,Non-binary,United States,Yes,No,No,Often,6-25,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Very easy,No,Maybe,Yes,Some of them,No,Yes,Don't know,Yes,We have EAP but nobody talks about it.
21,2023,24,Female,France,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Don't know,Don't know,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,No,No,Maybe,Yes,Don't know,No,HR resources are available but rarely used.
22,2022,37,Male,India,No,No,No,Sometimes,26-100,No,Yes,Yes,Don't know,Yes,No,Don't know,Very difficult,No,No,No,Yes,No,No,Don't know,No,Stigma is still a major issue in my workplace.
23,2023,24,Male,Ireland,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,Yes,Yes,No,Yes,Maybe,Maybe,Yes,No,
24,2019,29,Male,Other,No,Yes,No,Rarely,500-1000,Yes,Yes,Don't know,Don't know,No,Yes,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes,Glad to see more companies taking this seriously.
25,2019,40,Male,United States,Yes,Yes,No,Rarely,More than 1000,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Very easy,Maybe,Yes,Some of them,No,Maybe,Yes,No,No,Leadership support makes all the difference.
26,2024,36,Female,United Kingdom,No,Yes,Yes,Sometimes,100-500,Yes,Yes,No,No,Don't know,Yes,Yes,Very difficult,Maybe,No,No,Yes,No,No,No,No,Stigma is still a major issue in my workplace.
27,2023,18,Other / Prefer not to say,United States,No,No,No,Sometimes,100-500,No,No,Yes,Don't know,Don't know,Don't know,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,No,Don't know,Yes,Remote work has been a double-edged sword.
28,2024,32,Male,United States,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,
29,2024,19,Male,United States,No,Yes,No,Rarely,100-500,Yes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Yes,Yes,No,
30,2023,34,Female,Canada,No,No,Yes,Rarely,6-25,Yes,No,Yes,No,No,No,No,Very difficult,No,No,Some of them,No,No,Maybe,Don't know,No,HR resources are available but rarely used.
31,2020,27,Male,Other,No,Yes,Yes,Often,100-500,Yes,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,No,No,Yes,No,Maybe,No,No,Better awareness programs needed.
32,2023,18,Male,United States,No,No,Yes,Never,6-25,No,No,No,Yes,Yes,Yes,No,Somewhat easy,No,No,No,Yes,Maybe,No,Yes,No,More anonymous support options would help.
33,2024,36,Male,Other,No,Yes,No,Sometimes,6-25,No,Yes,Yes,No,No,No,No,Don't know,Maybe,Yes,Yes,No,Maybe,No,No,No,
34,2019,25,Male,United States,Yes,No,No,Never,26-100,No,Yes,No,Yes,No,Yes,No,Very easy,Maybe,No,No,Some of them,No,Yes,No,No,
35,2023,26,Male,Australia,Yes,Yes,No,Rarely,100-500,Yes,No,No,Yes,Don't know,No,Yes,Very easy,Yes,No,Yes,Yes,No,Yes,Don't know,No,Leadership support makes all the difference.
36,2019,24,Male,United Kingdom,No,No,No,Often,6-25,No,Yes,No,Don't know,Don't know,Don't know,No,Somewhat easy,No,Maybe,No,No,No,Maybe,Yes,No,
37,2021,26,Male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,Yes,Yes,Some of them,No,Maybe,No,Don't know,No,
38,2023,27,Male,Canada,Yes,No,No,Rarely,26-100,Yes,Yes,Don't know,Don't know,Don't know,Yes,Don't know,Very difficult,Yes,Yes,Some of them,No,Maybe,Yes,Don't know,No,
39,2020,34,Male,United States,No,No,No,Rarely,26-100,Yes,Yes,Don't know,No,Don't know,No,No,Don't know,No,No,No,Yes,Maybe,No,No,No,Management needs training on mental health.
40,2024,38,Male,Canada,No,No,No,Often,100-500,Yes,No,Yes,Yes,Don't know,No,No,Somewhat difficult,Maybe,No,No,Yes,Maybe,Yes,No,No,
41,2023,40,Male,France,No,Yes,Yes,Rarely,6-25,Yes,Yes,Don't know,Don't know,No,No,No,Somewhat easy,No,No,Some of them,No,No,No,Don't know,No,Anonymous reporting would increase participation.
42,2020,26,Male,Canada,No,No,No,Rarely,1-5,No,Yes,Don't know,Don't know,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Maybe,Maybe,Don't know,No,
43,2022,50,Other / Prefer not to say,United States,Yes,No,Yes,Sometimes,1-5,Yes,No,No,Don't know,Yes,No,No,Don't know,Maybe,No,No,No,No,No,No,No,Better awareness programs needed.
44,2020,34,Male,United States,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,No,Yes,Don't know,Somewhat easy,Maybe,No,No,Yes,Maybe,No,No,No,
45,2019,29,Male,Australia,No,No,No,Never,1-5,Yes,Yes,No,No,Yes,Don't know,No,Don't know,No,No,No,Yes,No,Maybe,Don't know,No,
46,2021,31,Female,United States,No,Yes,Yes,Sometimes,1-5,Yes,No,Yes,Don't know,No,Yes,No,Somewhat easy,No,Yes,Yes,Some of them,No,No,Yes,No,HR resources are available but rarely used.
47,2019,31,Female,United States,No,No,No,Rarely,100-500,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,Yes,No,No,No,Maybe,Maybe,Yes,No,
48,2021,32,Male,United States,No,Yes,No,Never,100-500,Yes,No,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,Maybe,No,Yes,No,
49,2021,25,Female,United Kingdom,No,No,Yes,Often,More than 1000,No,No,Yes,Yes,Yes,Yes,Don't know,Very easy,No,No,No,No,Maybe,No,Yes,No,Open conversations help reduce stigma.
50,2020,26,Female,Other,No,No,No,Rarely,100-500,Yes,Yes,No,Yes,Don't know,Yes,Yes,Don't know,Yes,No,Some of them,Yes,No,No,No,No,Better awareness programs needed.
51,2021,34,Female,United States,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Don't know,Yes,Yes,Yes,Don't know,Yes,No,No,No,Maybe,Yes,Yes,No,We have EAP but nobody talks about it.
52,2023,18,Female,United Kingdom,No,Yes,No,Rarely,26-100,Yes,Yes,Don't know,Don't know,No,No,No,Somewhat easy,Yes,Maybe,Yes,Some of them,No,Yes,No,No,
53,2024,40,Female,Netherlands,Yes,No,No,Sometimes,26-100,Yes,Yes,No,No,Don't know,Don't know,Yes,Somewhat difficult,Maybe,No,No,Some of them,Yes,No,Yes,No,Remote work has been a double-edged sword.
54,2024,38,Non-binary,Other,No,Yes,Yes,Sometimes,More than 1000,Yes,Yes,Don't know,Yes,Don't know,Yes,No,Somewhat easy,Yes,Yes,No,No,Maybe,Yes,Yes,No,
55,2022,36,Male,Ireland,No,Yes,No,Rarely,26-100,Yes,Yes,Yes,Don't know,Yes,Don't know,No,Very difficult,Maybe,Maybe,No,Some of them,No,No,No,No,Management needs training on mental health.
56,2024,32,Female,Other,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,Yes,No,No,Somewhat easy,Yes,Yes,Yes,Some of them,No,No,Don't know,Yes,Remote work has been a double-edged sword.
57,2020,28,Female,Other,No,No,No,Sometimes,More than 1000,Yes,Yes,Yes,No,Yes,Don't know,Yes,Very difficult,No,No,No,Yes,No,No,Yes,Yes,Management needs training on mental health.
58,2023,23,Male,United States,No,No,No,Often,More than 1000,Yes,Yes,Don't know,Don't know,Yes,Yes,Don't know,Don't know,Yes,No,Yes,Yes,No,No,No,No,Burnout is rampant in my team.
59,2019,34,Male,France,No,No,No,Rarely,6-25,Yes,Yes,No,No,No,Don't know,No,Very easy,Yes,No,Yes,Some of them,No,No,No,No,Anonymous reporting would increase participation.
60,2024,38,Female,United States,No,No,No,Rarely,26-100,No,Yes,Don't know,Don't know,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,Maybe,Yes,Don't know,Yes,
61,2024,27,Female,United States,Yes,No,No,Sometimes,6-25,No,Yes,Don't know,Don't know,No,Yes,No,Don't know,Maybe,No,Yes,No,No,Maybe,Yes,No,Leadership support makes all the difference.
62,2023,23,Non-binary,United Kingdom,No,No,No,Never,100-500,Yes,Yes,Don't know,Yes,Don't know,No,Yes,Somewhat easy,Maybe,Yes,No,No,No,Yes,Don't know,Yes,
63,2024,32,Female,Other,No,Yes,No,Never,1-5,No,Yes,No,No,Don't know,No,No,Somewhat easy,Maybe,No,No,Yes,Maybe,No,Yes,No,
64,2019,25,Female,Germany,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,Maybe,No,Some of them,No,No,Yes,No,Open conversations help reduce stigma.
65,2023,34,Female,United States,No,No,No,Never,More than 1000,No,Yes,No,Don't know,Don't know,Don't know,No,Somewhat easy,Yes,Maybe,No,Some of them,No,Yes,Yes,No,More anonymous support options would help.
66,2023,29,Male,United States,No,No,No,Rarely,1-5,Yes,No,No,No,Don't know,No,No,Very easy,Yes,No,No,No,No,No,Don't know,No,
67,2023,27,Male,United States,No,Yes,Yes,Often,6-25,Yes,Yes,No,No,Don't know,No,Yes,Somewhat easy,No,Yes,No,Yes,Yes,No,Yes,No,
68,2022,26,Female,Germany,No,No,Yes,Rarely,6-25,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Very easy,No,No,Some of them,No,Maybe,No,Don't know,No,Open conversations help reduce stigma.
69,2019,28,Male,Brazil,No,Yes,Yes,Sometimes,100-500,No,Yes,No,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,No,Yes,Maybe,No,No,No,Leadership support makes all the difference.
70,2022,40,Male,Netherlands,No,Yes,Yes,Often,More than 1000,No,No,No,Yes,No,Yes,Yes,Somewhat easy,No,Maybe,Some of them,No,No,No,No,No,HR resources are available but rarely used.
71,2024,18,Female,United States,No,No,No,Sometimes,100-500,No,Yes,Don't know,Don't know,Yes,Yes,No,Very difficult,Yes,No,No,No,No,Maybe,Don't know,No,More anonymous support options would help.
72,2020,46,Other / Prefer not to say,United States,Yes,No,No,Never,More than 1000,Yes,Yes,Yes,Yes,Don't know,Yes,No,Somewhat easy,No,No,No,Some of them,No,No,Yes,No,
73,2023,18,Non-binary,United States,No,No,No,Never,6-25,No,Yes,No,No,Don't know,No,No,Don't know,Maybe,No,Yes,Yes,Maybe,No,No,Yes,HR resources are available but rarely used.
74,2024,27,Male,Ireland,No,No,Yes,Often,6-25,Yes,Yes,Yes,No,Yes,No,Don't know,Very easy,Yes,No,Some of them,Yes,No,Yes,Yes,No,Remote work has been a double-edged sword.
75,2024,31,Male,Other,No,No,No,Sometimes,100-500,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,No,No,
76,2024,33,Female,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,Yes,No,Don't know,No,Very easy,Maybe,No,No,Yes,No,No,Don't know,No,
77,2019,38,Other / Prefer not to say,Germany,No,Yes,Yes,Often,100-500,Yes,Yes,No,Don't know,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,No,Some of them,No,No,Yes,No,
78,2021,27,Male,United States,No,Yes,Yes,Sometimes,26-100,No,No,No,No,No,No,Yes,Don't know,No,No,No,No,Maybe,No,No,No,
79,2019,41,Male,United States,No,Yes,Yes,Sometimes,100-500,Yes,Yes,No,Don't know,No,Don't know,Yes,Somewhat easy,Yes,No,Some of them,Yes,Maybe,Yes,Don't know,No,Remote work has been a double-edged sword.
80,2021,18,Male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,No,Don't know,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,No,Yes,No,No,Management needs training on mental health.
81,2023,41,Male,United States,No,No,Yes,Sometimes,1-5,No,No,No,Don't know,No,Don't know,Don't know,Somewhat easy,Yes,No,No,Some of them,Maybe,No,Yes,No,HR resources are available but rarely used.
82,2023,29,Female,United States,No,Yes,No,Rarely,100-500,Yes,Yes,Yes,No,Yes,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,HR resources are available but rarely used.
83,2020,32,Male,United States,No,No,No,Never,100-500,No,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Yes,No,No,Yes,Yes,Yes,Don't know,No,Better awareness programs needed.
84,2020,29,Male,United States,No,No,No,Rarely,1-5,Yes,No,No,Yes,Don't know,No,No,Somewhat difficult,No,No,No,No,No,Maybe,Don't know,No,Glad to see more companies taking this seriously.
85,2022,30,Male,Netherlands,No,No,Yes,Often,6-25,No,Yes,No,No,No,Yes,No,Somewhat difficult,No,No,Some of them,Some of them,No,No,Yes,No,Anonymous reporting would increase participation.
86,2024,24,Male,Other,No,No,No,Sometimes,100-500,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat difficult,Maybe,Yes,No,Yes,No,Yes,Don't know,No,Better awareness programs needed.
87,2022,47,Male,United States,No,No,No,Rarely,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Very easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No,
88,2019,20,Male,United States,No,No,No,Rarely,26-100,Yes,Yes,Don't know,No,Don't know,Yes,Don't know,Very difficult,No,No,Some of them,Yes,No,No,Yes,No,Open conversations help reduce stigma.
89,2021,34,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,Yes,No,No,Don't know,No,No,Yes,Some of them,No,Yes,Don't know,No,More anonymous support options would help.
90,2019,30,Other / Prefer not to say,Germany,No,No,No,Never,6-25,No,Yes,Yes,No,Yes,No,Yes,Don't know,Maybe,No,No,Yes,No,No,No,No,Management needs training on mental health.
91,2020,25,Male,Brazil,No,Yes,Yes,Sometimes,More than 1000,Yes,Yes,No,Don't know,Yes,Yes,No,Very easy,No,No,Yes,No,No,Yes,Yes,No,
92,2024,20,Non-binary,Ireland,No,No,Yes,Sometimes,6-25,No,No,No,No,Don't know,Yes,No,Somewhat easy,No,No,No,No,No,No,Don't know,No,
93,2024,39,Female,Other,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Yes,Don't know,No,Don't know,Don't know,Maybe,No,No,Yes,No,Yes,Don't know,Yes,
94,2022,21,Male,Germany,No,No,No,Never,500-1000,Yes,No,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,No,No,Yes,Yes,No,
95,2023,34,Male,Australia,No,No,No,Rarely,6-25,Yes,Yes,Yes,No,Don't know,No,No,Very easy,Maybe,No,Yes,Some of them,No,No,Don't know,No,More anonymous support options would help.
96,2024,40,Male,Germany,Yes,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Yes,Some of them,No,No,Don't know,Yes,Leadership support makes all the difference.
97,2024,36,Non-binary,Sweden,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,Don't know,No,Yes,No,Very difficult,Maybe,Yes,Yes,Yes,Maybe,Maybe,Yes,No,Anonymous reporting would increase participation.
98,2022,23,Female,Sweden,No,No,No,Rarely,100-500,Yes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Yes,No,Maybe,Don't know,No,Management needs training on mental health.
99,2019,32,Female,United States,No,Yes,No,Sometimes,100-500,Yes,No,Yes,Yes,Don't know,No,Yes,Somewhat difficult,Yes,No,Yes,Some of them,No,No,Yes,No,Better awareness programs needed.
100,2021,18,Other / Prefer not to say,France,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Don't know,No,No,No,Don't know,Yes,No,No,Some of them,No,No,No,No,Anonymous reporting would increase participation.
101,2023,44,Male,United States,No,Yes,Yes,Sometimes,100-500,Yes,No,Don't know,Yes,Don't know,Yes,Yes,Very easy,No,No,No,Some of them,No,No,Yes,Yes,
102,2021,45,Male,United States,No,No,No,Never,100-500,No,No,No,Don't know,Don't know,No,Yes,Don't know,Maybe,No,No,Some of them,No,No,No,No,We have EAP but nobody talks about it.
103,2020,25,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,No,Yes,No,Maybe,No,No,Anonymous reporting would increase participation.
104,2022,36,Female,Netherlands,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,Don't know,No,Don't know,Yes,Very easy,No,No,Yes,Some of them,No,No,Don't know,No,Better awareness programs needed.
105,2022,25,Male,Australia,No,No,Yes,Never,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Don't know,Very easy,No,Maybe,No,Some of them,Yes,No,Yes,No,Better awareness programs needed.
106,2023,29,Male,Other,Yes,Yes,No,Rarely,6-25,No,Yes,No,No,Don't know,No,No,Very easy,Yes,No,Yes,Some of them,No,No,Yes,Yes,Better awareness programs needed.
107,2024,33,Male,Netherlands,No,No,Yes,Never,100-500,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,No,Maybe,No,No,Leadership support makes all the difference.
108,2019,44,Male,Ireland,No,No,No,Never,6-25,No,Yes,No,Don't know,No,Yes,Don't know,Somewhat difficult,Maybe,No,No,Some of them,Maybe,Yes,Yes,No,
109,2022,22,Male,Other,No,No,No,Rarely,More than 1000,Yes,No,Yes,Don't know,Don't know,Yes,No,Somewhat easy,Maybe,No,No,Some of them,No,Maybe,No,No,We have EAP but nobody talks about it.
110,2020,29,Female,Germany,Yes,Yes,Yes,Sometimes,More than 1000,Yes,No,Don't know,Yes,Don't know,Yes,Yes,Somewhat easy,Maybe,No,Yes,No,No,Yes,Don't know,No,
111,2024,32,Non-binary,United Kingdom,No,No,No,Rarely,100-500,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Open conversations help reduce stigma.
112,2024,29,Female,United Kingdom,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No,Yes,Yes,No,
113,2022,18,Female,Australia,Yes,No,No,Sometimes,100-500,No,Yes,Don't know,No,Yes,No,Yes,Don't know,Yes,No,Some of them,Yes,Maybe,No,Don't know,Yes,HR resources are available but rarely used.
114,2023,39,Male,United Kingdom,Yes,No,No,Never,1-5,Yes,Yes,No,No,Don't know,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,Yes,No,No,More anonymous support options would help.
115,2022,32,Male,France,No,Yes,No,Never,26-100,Yes,Yes,Yes,Don't know,Don't know,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Maybe,Yes,No,Open conversations help reduce stigma.
116,2024,29,Female,United States,No,No,No,Never,500-1000,Yes,No,Yes,Yes,Yes,Yes,No,Somewhat easy,No,No,Yes,No,Yes,Maybe,Don't know,No,Better awareness programs needed.
117,2023,35,Female,Canada,No,No,Yes,Never,100-500,No,Yes,Don't know,Don't know,No,Yes,Don't know,Don't know,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,Management needs training on mental health.
118,2022,24,Male,United States,No,No,No,Rarely,500-1000,No,Yes,No,Don't know,Yes,No,Don't know,Don't know,Maybe,No,No,Yes,No,No,Don't know,No,Glad to see more companies taking this seriously.
119,2024,48,Female,Canada,No,No,No,Never,26-100,Yes,Yes,No,No,Yes,Yes,No,Very difficult,No,No,Yes,No,No,No,No,No,Leadership support makes all the difference.
120,2019,30,Male,United States,No,No,No,Never,6-25,Yes,Yes,No,Don't know,No,No,No,Very difficult,No,Yes,No,Yes,No,No,Don't know,No,Remote work has been a double-edged sword.
121,2022,26,Other / Prefer not to say,Netherlands,No,No,No,Rarely,26-100,No,Yes,No,Don't know,Don't know,No,No,Somewhat difficult,Maybe,Maybe,Yes,No,Yes,No,Yes,Yes,Burnout is rampant in my team.
122,2023,24,Male,Germany,No,No,Yes,Sometimes,100-500,No,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,Maybe,No,No,No,No,Yes,No,
123,2023,33,Female,Other,No,No,No,Never,More than 1000,Yes,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Glad to see more companies taking this seriously.
124,2023,35,Female,Sweden,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat difficult,Maybe,Maybe,No,Yes,No,No,No,No,Glad to see more companies taking this seriously.
125,2023,27,Male,Germany,No,No,No,Never,More than 1000,Yes,Yes,Yes,Yes,Yes,No,Don't know,Somewhat easy,Yes,No,No,No,No,No,Yes,No,Management needs training on mental health.
126,2024,20,Female,United Kingdom,No,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Yes,Yes,Very easy,No,No,Yes,No,No,No,Don't know,No,Open conversations help reduce stigma.
127,2019,31,Male,Other,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Don't know,Yes,No,No,Some of them,Maybe,No,Yes,No,HR resources are available but rarely used.
128,2021,37,Male,United States,No,No,No,Never,26-100,No,Yes,Don't know,No,No,No,Yes,Don't know,No,No,No,Some of them,Maybe,No,No,Yes,Remote work has been a double-edged sword.
129,2023,29,Male,United States,No,Yes,No,Rarely,6-25,Yes,Yes,Don't know,Don't know,Don't know,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Maybe,Yes,No,Better awareness programs needed.
130,2022,25,Male,Other,No,No,No,Sometimes,100-500,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Stigma is still a major issue in my workplace.
131,2022,39,Male,Other,No,Yes,No,Sometimes,1-5,No,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,No,No,No,No,No,Remote work has been a double-edged sword.
132,2024,28,Male,United States,No,Yes,Yes,Often,1-5,Yes,Yes,Don't know,No,Don't know,No,Yes,Somewhat difficult,Maybe,No,Yes,No,Maybe,No,Don't know,No,
133,2024,23,Male,Canada,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Don't know,Don't know,Very easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,
134,2019,29,Male,United States,No,No,No,Never,26-100,No,No,No,Don't know,Don't know,No,Don't know,Somewhat easy,No,No,No,Some of them,No,No,Don't know,No,Stigma is still a major issue in my workplace.
135,2020,47,Male,Brazil,No,Yes,Yes,Sometimes,1-5,No,No,No,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,No,
136,2023,19,Female,United States,No,No,No,Never,1-5,Yes,Yes,No,Yes,No,Don't know,Yes,Somewhat difficult,Yes,No,Some of them,Yes,No,No,Yes,No,
137,2024,28,Female,United States,Yes,Yes,No,Often,26-100,Yes,Yes,Don't know,Yes,No,No,No,Don't know,Maybe,Yes,Yes,No,No,Maybe,Don't know,No,Stigma is still a major issue in my workplace.
138,2024,37,Male,Netherlands,No,No,No,Never,500-1000,Yes,No,No,Yes,Yes,Don't know,No,Don't know,No,No,No,No,Yes,Maybe,No,No,Management needs training on mental health.
139,2024,27,Male,Sweden,No,No,Yes,Often,6-25,No,Yes,No,No,No,Yes,Don't know,Somewhat difficult,No,No,No,No,No,Maybe,Yes,No,Remote work has been a double-edged sword.
140,2021,46,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Yes,No,No,Yes,Somewhat easy,No,No,No,No,No,Yes,No,No,Open conversations help reduce stigma.
141,2024,38,Female,United Kingdom,No,No,Yes,Often,100-500,Yes,Yes,Don't know,Yes,Yes,Don't know,Don't know,Somewhat easy,No,Yes,Yes,Some of them,No,No,No,No,
