student_id,age,gender,ethnicity,parental_education,family_income,school_type,school_region,study_hours_per_week,attendance_rate,extracurricular_activities,sports_participation,tutoring_sessions,parental_involvement,internet_access,has_laptop,sleep_hours,stress_level,motivation_score,reading_score,writing_score,math_score,science_score,overall_gpa,passed
STU00025,22,F,D,some_college,high,public,urban,17.6,71.4,2,no,5,medium,yes,yes,7.7,9.2,3.5,88.6,73.5,85.7,79.9,3.13,1
STU00026,19,M,B,bachelor,high,public,rural,11.9,76.4,0,no,18,high,yes,yes,5.9,10.0,5.9,95.8,69.7,85.2,87.7,3.29,1
STU00027,24,M,C,bachelor,high,public,rural,17.8,80.3,0,yes,9,low,yes,yes,4.2,10.0,5.2,45.4,83.1,91.8,79.4,2.77,1
STU00028,20,F,D,high_school,low,public,urban,9.1,88.3,2,yes,16,medium,yes,yes,8.9,4.7,6.3,76.4,80.4,94.2,66.3,3.27,1
STU00029,19,M,C,high_school,low,public,rural,12.9,82.0,2,yes,13,low,yes,no,8.1,4.6,4.6,88.1,70.0,85.0,60.2,3.14,1
STU00030,19,M,D,bachelor,low,private,suburban,11.1,90.4,2,yes,8,high,yes,no,8.2,5.8,4.1,84.9,79.7,83.4,83.1,3.35,1
STU00031,17,F,C,none,high,public,urban,11.6,87.0,4,yes,11,low,yes,yes,5.4,5.5,4.4,59.9,47.9,80.5,71.3,2.48,1
STU00032,16,M,B,bachelor,middle,public,suburban,6.9,81.4,0,yes,7,low,yes,yes,5.8,6.9,5.3,88.6,44.9,59.7,63.9,2.55,1
STU00033,21,F,B,some_college,high,public,suburban,9.1,88.8,4,no,15,medium,yes,yes,7.8,4.5,7.1,90.4,96.8,100.0,84.6,3.58,1
STU00034,24,F,D,high_school,high,private,rural,21.1,85.4,2,yes,16,medium,yes,yes,6.6,2.8,7.8,100.0,100.0,96.8,100.0,3.88,1
STU00035,15,M,A,bachelor,low,public,urban,6.9,77.8,0,no,5,medium,yes,yes,6.8,5.0,4.7,65.3,78.5,68.3,65.0,2.49,1
STU00036,24,F,D,some_college,middle,public,suburban,0.0,81.6,0,yes,1,medium,yes,yes,8.6,3.7,4.1,66.2,60.5,54.6,66.0,2.56,1
STU00037,24,M,A,master,high,private,suburban,34.0,83.9,5,yes,3,high,yes,yes,7.1,6.9,4.6,100.0,99.8,100.0,100.0,3.86,1
STU00038,18,F,C,high_school,middle,private,urban,7.9,94.7,1,no,4,low,yes,yes,7.3,3.9,7.2,92.8,70.4,94.6,66.5,3.16,1
STU00039,21,F,D,none,middle,public,suburban,8.4,99.5,0,no,14,medium,yes,yes,8.1,2.2,4.6,86.1,69.7,95.1,100.0,3.58,1
STU00040,16,M,C,high_school,middle,private,suburban,8.1,91.2,2,no,7,medium,yes,yes,5.8,5.2,4.0,82.9,79.5,93.0,96.2,3.33,1
STU00041,23,M,D,high_school,middle,public,urban,10.6,75.7,5,no,1,medium,yes,yes,7.3,4.5,5.8,68.3,70.8,87.3,77.6,3.02,1
STU00042,22,M,A,bachelor,high,public,suburban,7.8,75.3,2,no,18,low,yes,yes,9.3,3.0,8.4,84.9,56.0,76.5,82.6,2.99,1
STU00043,18,M,C,some_college,low,private,rural,19.0,90.9,2,yes,2,medium,no,yes,8.4,6.0,3.4,88.0,67.1,92.0,87.7,3.15,1
STU00044,15,M,C,high_school,middle,public,suburban,9.3,84.1,5,no,14,medium,yes,yes,6.5,3.6,6.7,65.7,78.4,92.5,63.6,2.99,1
STU00045,25,Non-binary,D,phd,high,public,suburban,7.1,76.3,1,yes,15,high,yes,yes,7.2,5.3,5.5,76.5,62.3,87.9,72.6,3.07,1
STU00046,19,M,A,high_school,middle,charter,urban,0.0,96.6,5,yes,0,low,yes,yes,6.1,7.8,5.1,51.1,74.8,52.8,57.7,2.59,1
STU00047,24,F,B,some_college,middle,public,suburban,17.6,84.1,4,no,17,low,yes,yes,6.8,6.6,6.5,100.0,81.7,100.0,100.0,3.75,1
STU00048,22,M,D,master,high,private,suburban,10.3,86.0,0,no,5,medium,yes,yes,6.4,4.7,8.2,79.9,98.0,88.4,100.0,3.58,1
STU00049,23,Non-binary,E,bachelor,low,public,rural,12.9,76.5,5,no,0,high,no,no,6.8,6.1,4.7,46.0,52.3,82.7,66.7,2.86,1
STU00050,23,M,D,high_school,low,public,suburban,4.0,69.2,3,yes,15,high,no,yes,8.0,4.9,7.3,53.8,52.5,47.2,56.7,2.0,1
STU00051,17,M,D,phd,low,public,urban,12.2,76.6,5,no,6,medium,yes,yes,6.0,5.7,5.7,85.0,65.1,74.1,65.6,2.91,1
STU00052,19,F,C,some_college,low,public,rural,9.9,79.4,3,yes,16,high,yes,yes,8.4,9.4,6.6,71.4,65.3,78.6,74.4,2.94,1
STU00053,20,M,C,none,middle,private,suburban,15.5,73.9,4,yes,8,low,yes,yes,9.1,7.4,7.4,76.9,78.9,77.3,69.1,2.85,1
STU00054,20,F,D,none,low,private,urban,10.1,81.8,2,yes,20,high,yes,no,5.2,6.6,4.4,42.5,46.7,66.8,66.9,2.35,1
STU00055,15,M,D,master,middle,public,suburban,5.3,87.6,5,no,8,low,yes,yes,7.2,4.4,6.4,61.4,74.9,66.7,72.2,3.06,1
STU00056,21,F,D,high_school,high,private,urban,25.8,91.0,0,yes,6,low,yes,yes,7.2,5.7,5.5,100.0,100.0,100.0,100.0,3.93,1
STU00057,16,F,D,bachelor,middle,public,suburban,14.1,80.8,2,no,18,low,yes,yes,7.8,5.1,7.3,92.1,77.9,100.0,95.1,3.78,1
STU00058,23,F,D,none,middle,private,urban,4.3,69.5,1,yes,17,medium,yes,yes,7.1,4.1,6.3,70.0,62.3,89.1,52.0,2.51,1
STU00059,22,M,A,high_school,low,public,suburban,10.7,80.2,5,yes,5,low,no,yes,6.9,5.0,4.3,77.8,63.9,88.9,62.4,2.99,1
STU00060,25,M,B,master,middle,public,urban,14.3,75.8,5,yes,2,high,no,yes,9.0,5.5,7.8,87.1,87.5,95.3,91.7,3.49,1
STU00061,23,M,E,phd,middle,public,rural,15.4,81.4,2,yes,20,medium,yes,no,8.6,5.6,4.4,90.0,71.8,84.3,82.6,3.47,1
STU00062,19,M,C,high_school,low,public,urban,11.8,89.0,4,yes,3,medium,yes,no,6.6,7.7,4.4,74.7,71.1,92.1,66.9,2.92,1
STU00063,25,M,B,high_school,high,public,urban,12.9,76.8,0,no,6,medium,yes,yes,7.2,5.0,4.3,70.7,88.9,71.2,71.8,2.86,1
STU00064,19,F,C,bachelor,high,public,urban,17.9,80.7,2,no,18,low,yes,no,7.7,4.8,3.9,95.0,96.9,100.0,77.0,3.69,1
STU00065,18,F,C,some_college,middle,charter,urban,15.4,60.1,5,yes,1,low,yes,yes,5.5,8.9,1.0,58.3,51.2,55.0,51.7,2.07,1
STU00066,24,F,D,some_college,middle,public,suburban,15.5,78.6,1,yes,9,medium,yes,yes,8.0,6.0,4.5,84.2,89.9,82.6,68.5,3.27,1
STU00067,19,M,D,high_school,middle,public,suburban,0.0,95.9,0,no,7,medium,yes,yes,5.2,6.6,5.4,39.6,42.4,45.9,54.2,1.75,0
STU00068,15,M,A,master,middle,public,suburban,1.6,90.0,5,no,3,medium,yes,no,8.1,2.4,7.0,90.3,49.4,92.4,58.2,2.93,1
STU00069,20,F,C,high_school,middle,public,rural,5.7,74.3,0,no,10,high,yes,yes,6.5,2.4,4.3,59.7,42.4,53.7,55.0,2.27,1
STU00070,23,M,A,high_school,high,public,suburban,9.9,72.8,3,yes,17,high,yes,yes,5.8,7.1,5.4,56.5,58.3,76.2,72.7,2.58,1
STU00071,17,M,D,high_school,high,charter,suburban,6.8,82.4,1,yes,13,high,yes,yes,7.4,8.3,6.0,57.8,62.4,73.2,87.6,2.93,1
STU00072,20,M,B,high_school,middle,public,suburban,4.4,89.6,5,no,4,medium,yes,yes,7.2,3.8,7.0,80.0,76.2,84.1,69.8,3.03,1
STU00073,16,F,C,some_college,middle,charter,rural,12.4,77.7,3,yes,13,low,yes,no,4.8,4.8,5.3,53.1,53.7,65.4,69.1,2.25,1
STU00074,22,Non-binary,C,high_school,middle,public,urban,5.3,82.7,5,yes,17,medium,yes,no,4.8,10.0,6.2,45.3,40.7,43.2,58.4,2.16,1
STU00075,20,M,C,bachelor,middle,private,urban,0.0,70.5,1,yes,5,medium,yes,yes,6.8,4.6,7.3,84.1,61.1,70.1,64.1,2.85,1
STU00076,18,F,C,some_college,low,public,suburban,2.0,91.3,3,no,17,low,yes,no,4.7,8.3,5.6,34.6,45.3,45.4,36.8,1.74,0
STU00077,17,M,D,high_school,middle,public,suburban,6.8,74.6,3,no,20,high,yes,yes,6.4,3.0,4.9,68.8,64.3,59.2,69.7,2.5,1
STU00078,21,M,C,master,low,charter,urban,9.6,93.4,3,no,6,low,no,yes,8.0,6.4,8.0,97.1,100.0,80.7,97.7,3.8,1
STU00079,22,F,A,some_college,middle,public,rural,16.4,80.3,3,no,1,low,yes,yes,7.5,4.6,1.1,57.0,68.0,85.7,73.6,2.93,1
STU00080,25,M,C,high_school,high,public,urban,14.0,89.6,1,no,2,high,yes,yes,6.3,6.8,8.2,65.2,83.9,80.7,97.6,3.47,1
STU00081,19,F,C,none,middle,private,suburban,0.0,82.5,4,no,12,high,yes,yes,6.5,4.5,7.0,67.8,68.6,47.7,90.6,2.81,1
STU00082,16,M,B,some_college,middle,public,urban,19.7,100.0,2,no,11,high,yes,no,7.6,7.5,8.6,99.5,100.0,100.0,100.0,4.0,1
STU00083,24,M,D,bachelor,middle,public,rural,10.3,77.3,5,yes,12,high,yes,yes,6.2,5.6,5.6,52.2,57.4,80.4,82.8,2.53,1
STU00084,21,F,B,bachelor,low,charter,urban,11.0,95.0,2,no,9,medium,yes,no,4.9,7.3,4.2,43.3,69.7,91.3,44.4,2.4,1
STU00085,22,M,D,bachelor,middle,public,urban,12.2,82.0,3,yes,6,medium,yes,yes,6.2,6.2,3.3,91.1,90.0,75.6,80.6,3.6,1
STU00086,16,F,A,high_school,middle,charter,urban,5.4,81.1,1,no,3,medium,yes,yes,7.5,4.2,3.4,56.1,36.2,69.9,42.7,2.17,1
STU00087,18,M,D,phd,high,private,urban,16.8,81.0,1,no,16,medium,yes,yes,5.3,5.7,5.5,84.1,81.8,99.2,100.0,3.66,1
STU00088,23,F,B,high_school,middle,private,urban,0.0,81.6,5,no,11,low,yes,yes,8.2,2.8,3.2,43.0,63.1,61.6,72.9,2.55,1
STU00089,24,M,C,high_school,high,public,urban,19.4,81.2,0,no,5,low,yes,yes,6.1,5.9,3.8,92.4,96.2,97.5,85.0,3.53,1
STU00090,19,M,B,some_college,low,public,suburban,11.2,94.0,4,yes,15,medium,no,yes,9.4,8.5,3.1,73.8,63.6,75.2,61.5,2.73,1
STU00091,23,F,C,none,middle,charter,suburban,12.2,76.7,3,yes,4,high,yes,yes,6.5,4.1,8.2,70.2,72.7,88.3,62.5,3.0,1
STU00092,24,M,B,some_college,middle,private,suburban,14.2,79.6,0,no,14,medium,yes,yes,8.5,6.6,4.1,75.5,80.5,100.0,85.0,3.09,1
STU00093,19,M,D,high_school,middle,private,urban,7.9,76.9,2,no,13,medium,yes,yes,7.0,4.0,6.3,69.4,81.4,81.5,72.7,3.06,1
STU00094,24,Non-binary,C,bachelor,middle,charter,urban,19.1,78.2,0,no,5,medium,yes,yes,5.2,10.0,5.2,85.7,62.8,67.2,70.4,2.88,1
STU00095,18,F,E,bachelor,low,public,rural,6.2,84.4,2,yes,12,medium,yes,yes,7.3,7.1,5.9,66.5,85.2,74.6,80.1,3.04,1
STU00096,17,F,D,bachelor,middle,public,urban,5.5,94.5,1,yes,12,high,yes,yes,5.4,7.0,5.6,81.6,75.1,52.4,63.6,2.7,1
STU00097,22,F,C,some_college,middle,public,suburban,11.9,89.4,1,no,15,medium,yes,no,5.2,6.6,7.0,65.3,89.7,83.2,74.9,3.17,1
STU00098,22,F,D,high_school,middle,public,urban,2.2,77.4,5,no,8,medium,yes,yes,7.9,3.1,6.7,82.6,84.1,90.7,82.5,3.5,1
STU00099,16,F,B,bachelor,middle,public,urban,8.1,84.5,2,no,10,high,yes,no,7.4,5.8,8.5,70.3,84.6,72.5,73.2,2.85,1
STU00100,24,F,C,some_college,high,public,rural,13.5,90.5,1,no,2,medium,yes,yes,6.2,4.0,4.5,77.1,83.8,92.6,68.5,3.29,1
STU00101,17,M,C,some_college,low,public,suburban,14.5,76.0,2,yes,0,medium,yes,no,6.8,2.2,3.5,70.0,72.7,78.0,77.7,3.1,1
STU00102,23,M,D,high_school,middle,public,suburban,10.3,83.1,4,yes,20,medium,yes,yes,6.6,6.6,4.7,79.0,89.3,76.4,72.7,3.27,1
STU00103,15,F,A,high_school,high,public,suburban,6.0,86.8,4,yes,7,high,yes,yes,6.2,3.8,6.6,89.0,69.2,100.0,100.0,3.57,1
STU00104,23,F,C,some_college,low,public,suburban,8.1,83.1,0,no,19,medium,yes,yes,6.3,3.0,6.3,78.9,60.0,70.4,84.2,2.95,1
STU00105,23,M,D,bachelor,middle,public,rural,7.5,74.0,4,no,10,high,yes,yes,6.8,3.3,4.8,56.1,75.4,78.9,74.6,3.13,1
STU00106,23,M,C,bachelor,middle,public,urban,10.9,85.9,0,no,18,low,yes,yes,6.7,4.4,5.3,79.7,87.4,82.7,72.5,3.16,1
STU00107,22,M,B,phd,middle,public,urban,8.8,100.0,2,no,19,low,no,yes,6.6,2.8,4.5,82.6,100.0,86.9,83.0,3.47,1
STU00108,20,F,C,some_college,high,public,rural,6.0,78.8,5,no,5,medium,yes,yes,7.2,2.4,5.3,94.4,80.5,86.1,72.7,3.3,1
STU00109,22,F,D,some_college,middle,public,urban,4.4,79.0,0,yes,8,medium,yes,no,8.4,4.9,5.5,53.9,67.1,72.1,69.2,2.65,1
STU00110,18,M,B,bachelor,middle,charter,urban,0.5,93.7,5,no,11,medium,yes,yes,8.6,3.8,8.5,76.3,90.3,71.9,66.0,2.88,1
STU00111,23,F,C,high_school,middle,public,urban,17.0,100.0,2,yes,0,medium,yes,yes,7.9,5.3,7.1,79.3,97.1,79.1,100.0,3.31,1
STU00112,21,F,E,some_college,low,public,suburban,14.4,79.6,5,no,15,medium,yes,no,7.7,5.4,7.3,71.7,81.2,75.2,75.1,3.0,1
STU00113,20,F,E,bachelor,middle,private,suburban,4.1,74.8,5,yes,19,medium,yes,yes,6.4,3.8,6.2,54.4,59.8,61.7,69.9,2.61,1
STU00114,20,M,A,high_school,low,public,urban,13.5,94.9,4,no,0,high,no,yes,5.8,5.9,9.3,59.4,82.5,79.5,77.6,2.66,1
STU00115,21,F,C,high_school,high,public,urban,11.7,92.5,5,no,18,medium,yes,yes,6.8,5.9,7.6,59.2,54.4,61.1,61.0,2.13,1
STU00116,15,F,A,some_college,low,private,suburban,2.3,71.1,4,yes,8,high,yes,yes,7.3,5.8,2.9,70.7,74.4,65.6,66.2,2.72,1
STU00117,16,F,E,some_college,low,public,suburban,3.8,83.1,5,no,12,medium,yes,no,6.3,1.2,6.7,63.3,70.4,56.0,41.1,2.15,1
STU00118,17,M,C,high_school,high,charter,suburban,10.5,75.0,1,yes,9,low,yes,yes,5.1,5.5,5.9,67.7,57.3,66.7,53.6,2.48,1
STU00119,16,F,C,high_school,low,public,suburban,14.0,82.1,4,yes,12,high,yes,yes,8.4,5.2,7.0,79.2,73.6,89.2,95.7,3.38,1
STU00120,19,F,B,high_school,middle,private,urban,14.1,76.4,3,yes,0,low,yes,yes,6.8,4.8,1.9,86.2,79.8,75.7,85.5,3.06,1
STU00121,22,M,C,bachelor,high,charter,suburban,9.2,86.5,4,yes,20,medium,yes,yes,8.3,4.2,2.9,88.3,86.9,88.2,84.8,3.58,1
STU00122,22,M,A,master,high,charter,rural,15.7,92.7,0,yes,7,low,yes,yes,6.8,4.2,5.0,92.4,84.0,100.0,100.0,3.92,1
STU00123,20,F,D,master,low,public,suburban,10.1,77.2,3,no,3,medium,yes,no,8.2,3.3,1.7,69.8,82.5,72.6,67.5,2.99,1
STU00124,24,F,C,bachelor,middle,public,rural,7.1,97.4,3,no,9,medium,yes,yes,7.5,6.4,6.9,81.3,96.2,100.0,90.9,3.63,1
STU00125,21,M,C,high_school,middle,public,rural,16.3,91.4,2,yes,14,medium,no,yes,8.3,3.3,5.8,100.0,93.6,100.0,100.0,3.93,1
STU00126,15,M,D,high_school,middle,public,urban,11.4,78.5,2,no,9,medium,yes,yes,7.8,4.2,9.4,87.5,85.3,82.2,86.1,3.29,1
STU00127,23,M,B,some_college,low,private,urban,13.2,93.4,4,no,3,medium,no,yes,6.8,4.5,5.9,99.8,94.9,93.8,73.3,3.78,1
STU00128,21,F,B,some_college,low,public,urban,3.5,91.8,1,yes,0,high,yes,yes,7.0,5.5,7.2,92.3,74.6,89.7,72.9,3.38,1
STU00129,21,Non-binary,C,bachelor,high,public,urban,9.3,100.0,1,yes,0,high,yes,no,9.1,6.9,7.6,90.1,87.7,69.8,90.9,3.58,1
STU00130,21,M,D,high_school,middle,public,suburban,15.4,85.7,2,no,5,medium,no,yes,6.7,4.8,5.7,78.4,93.6,99.7,87.4,3.62,1
STU00131,21,M,A,master,high,public,urban,11.2,97.7,4,yes,2,high,yes,yes,7.5,3.9,6.6,100.0,100.0,100.0,96.4,3.8,1
STU00132,15,M,D,high_school,low,public,rural,8.3,69.2,5,yes,14,medium,yes,yes,7.6,2.7,5.1,48.8,57.1,84.3,55.6,2.39,1
STU00133,21,M,C,some_college,middle,public,suburban,4.6,73.0,3,yes,2,medium,no,yes,7.8,5.9,1.0,52.7,69.0,70.8,61.1,2.57,1
STU00134,23,F,C,master,middle,public,rural,13.2,70.7,3,no,10,low,yes,yes,6.8,2.0,7.1,100.0,100.0,100.0,100.0,3.75,1
STU00135,18,F,C,some_college,middle,public,suburban,4.5,84.2,3,yes,0,high,yes,yes,8.2,2.8,8.4,76.4,65.5,79.8,71.3,3.02,1
STU00136,21,M,A,bachelor,middle,private,urban,13.7,87.1,1,yes,12,low,yes,yes,7.1,5.8,6.6,99.6,100.0,100.0,100.0,3.98,1
STU00137,15,M,B,bachelor,low,public,urban,4.6,83.3,2,yes,12,medium,yes,no,4.9,6.6,5.4,59.6,39.6,65.3,56.0,1.86,0
STU00138,18,M,D,bachelor,high,public,suburban,11.1,90.2,3,yes,11,high,yes,yes,7.1,5.3,6.1,84.1,90.1,92.8,100.0,3.48,1
STU00139,19,F,C,bachelor,middle,public,urban,21.0,99.6,3,no,14,medium,yes,no,7.4,6.7,3.2,92.5,100.0,100.0,100.0,3.93,1
STU00140,25,F,C,some_college,middle,public,rural,13.2,76.6,4,no,14,low,no,yes,6.6,6.6,2.4,51.9,63.6,71.9,69.3,2.66,1
STU00141,17,F,E,some_college,middle,public,urban,8.9,91.6,4,no,16,medium,yes,no,7.0,3.3,4.3,75.6,66.6,78.6,94.9,3.15,1
STU00142,18,M,A,bachelor,high,private,suburban,17.5,89.5,2,no,3,high,yes,yes,7.2,4.0,6.8,100.0,100.0,100.0,100.0,3.88,1
STU00143,19,F,C,some_college,middle,public,urban,6.7,87.3,2,no,4,high,yes,yes,8.3,2.9,6.8,76.3,65.2,82.3,70.2,2.77,1
STU00144,25,M,C,bachelor,middle,private,suburban,5.6,88.6,2,no,1,low,yes,yes,7.5,4.3,3.9,68.4,91.1,77.2,75.4,2.84,1
STU00145,24,F,A,some_college,high,public,suburban,9.7,76.6,4,yes,8,high,yes,yes,8.9,7.9,3.8,88.5,92.2,100.0,80.7,3.74,1
STU00146,15,F,E,high_school,low,private,urban,16.2,89.8,1,no,1,medium,yes,no,5.9,6.1,3.9,76.5,66.6,95.9,84.3,2.87,1
STU00147,17,F,E,some_college,middle,charter,rural,17.3,71.4,0,yes,6,medium,yes,yes,6.2,5.5,5.3,81.1,55.7,100.0,93.0,3.29,1
STU00148,24,F,B,phd,low,private,suburban,8.6,79.9,5,no,10,low,no,no,7.8,4.4,1.5,66.2,61.9,84.1,73.7,3.03,1
STU00149,15,M,E,high_school,middle,public,urban,8.8,81.4,4,no,8,medium,yes,no,7.8,4.1,5.9,92.6,77.0,77.5,88.9,3.22,1
STU00150,24,F,A,high_school,middle,public,rural,13.0,100.0,5,no,2,low,yes,yes,8.1,5.5,8.1,81.0,86.9,86.2,100.0,3.22,1
STU00151,18,M,E,high_school,low,public,rural,24.2,72.2,5,yes,20,high,yes,yes,6.6,3.0,4.2,98.8,74.0,77.1,92.5,3.27,1
STU00152,25,M,D,some_college,high,public,urban,10.5,93.5,2,no,13,medium,yes,yes,6.0,5.8,10.0,84.7,93.5,93.9,88.1,3.57,1
STU00153,18,M,B,high_school,middle,public,urban,18.8,91.3,5,no,8,medium,yes,yes,6.6,6.1,4.1,79.8,85.1,100.0,100.0,3.61,1
STU00154,19,M,C,bachelor,middle,private,rural,13.0,78.2,1,yes,15,high,yes,yes,4.2,10.0,5.7,50.7,56.4,46.0,62.6,1.91,0
STU00155,22,M,D,high_school,middle,private,suburban,15.6,85.1,2,no,9,medium,yes,yes,8.1,6.9,6.5,100.0,85.5,91.0,100.0,3.8,1
STU00156,16,M,B,high_school,middle,public,suburban,16.6,79.0,0,no,5,low,no,no,6.3,4.2,4.8,92.5,78.8,84.2,78.5,3.19,1
STU00157,21,F,C,high_school,low,private,urban,10.7,74.7,2,no,17,low,no,no,6.0,4.3,1.2,58.5,62.1,56.9,55.2,2.36,1
STU00158,20,M,C,none,middle,public,suburban,9.8,97.5,3,no,5,medium,yes,yes,7.2,3.7,6.0,56.3,73.4,81.9,78.8,2.86,1
STU00159,23,M,A,bachelor,high,public,urban,11.2,68.5,2,no,10,medium,yes,yes,8.6,6.2,6.0,65.4,84.3,76.6,65.7,2.98,1
STU00160,25,Non-binary,A,master,low,public,urban,13.2,84.7,5,no,12,medium,yes,yes,7.7,2.3,4.7,99.7,93.7,83.0,84.9,3.58,1
STU00161,22,F,B,bachelor,high,public,urban,19.5,66.7,0,no,9,low,yes,yes,6.7,5.3,5.3,78.7,68.0,90.3,84.3,3.14,1
STU00162,19,M,D,master,middle,public,urban,19.9,92.2,1,no,10,low,yes,yes,7.7,5.0,5.8,100.0,100.0,100.0,96.4,3.89,1
STU00163,19,M,C,high_school,low,private,suburban,16.9,77.5,5,no,3,medium,yes,yes,7.5,3.7,3.4,83.6,73.4,87.4,85.6,3.03,1
STU00164,19,F,C,master,middle,public,suburban,9.2,71.1,3,no,2,high,yes,yes,8.9,6.5,7.2,58.9,73.7,92.8,64.9,3.2,1
STU00165,23,F,B,some_college,middle,public,suburban,7.6,80.3,1,no,15,low,yes,yes,8.3,2.5,3.7,63.0,72.4,68.9,82.9,2.83,1
STU00166,18,M,B,bachelor,high,public,urban,7.4,78.3,4,yes,3,low,yes,yes,6.6,6.7,8.3,65.6,61.4,76.7,76.3,2.83,1
STU00167,16,F,D,bachelor,middle,public,urban,12.4,94.4,0,no,14,low,yes,no,7.1,5.3,7.0,85.0,91.5,97.6,79.5,3.5,1
STU00168,18,M,A,high_school,low,public,suburban,15.2,88.6,5,no,12,medium,yes,no,7.3,4.1,3.2,73.9,75.7,93.8,93.6,3.41,1
STU00169,15,M,D,high_school,low,private,suburban,6.2,77.9,4,no,18,low,yes,no,4.7,6.8,7.1,45.6,51.1,41.8,53.6,1.98,0
STU00170,16,F,C,high_school,middle,public,urban,9.4,88.8,1,no,1,low,yes,no,4.0,10.0,5.7,39.9,44.0,50.0,33.0,1.91,0
STU00171,15,F,D,some_college,middle,public,suburban,14.9,79.8,0,yes,11,high,yes,yes,7.2,5.4,7.2,67.8,84.8,92.2,93.5,3.28,1
