paper_id,title,abstract,authors,year,month,category,subcategory,citation_count,venue,num_authors,has_code,primary_method,dataset_used,is_survey
arxiv.202404.02291,Towards Grasping for Real-World Applications,"This paper presents DeepReason, designed for efficient graph classification. By leveraging curriculum learning and flow matching, our approach reduces computational cost by 65% while maintaining competitive performance on diverse evaluation suites. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Sarah Ivanov,2024,4,cs.RO,sim-to-real,0,arXiv-only,1,True,transformer,MuJoCo,False
arxiv.202304.02020,Memory-Augmented Collaborative Filtering with Vision Transformers,"We study the problem of language understanding and propose FlowMatch, a scalable framework based on multi-head attention. Our key insight is that sparse attention patterns can approximate dense attention with minimal loss. Extensive experiments on diverse evaluation suites show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Christopher Sun; Dario Zhang; Kai Martin; Wei Huang,2023,4,cs.IR,knowledge-graphs,51,ICLR,4,True,reinforcement_learning,Amazon Reviews,False
arxiv.202002.00561,Face Recognition with Graph Neural Networks,"We study the problem of robot manipulation and propose FastTune, a scalable framework based on multi-head attention. Our key insight is that task-specific adapters preserve pre-trained knowledge while enabling specialization. Extensive experiments on multiple established benchmarks show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Aditya Chen; Diego Martinez; Laura LeCun; Neha Lin,2020,2,cs.CV,image-segmentation,22,NeurIPS,4,False,ensemble,CIFAR-100,False
arxiv.202301.01743,Hyperparameter Optimization across Domains,"We present a comprehensive study of image synthesis in the context of generative modeling. Through systematic experiments on challenging real-world datasets, we identify key factors that influence model performance and propose MetaAdapt as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",David Chen; Jakob Yamamoto; Peng Sun; Wei Girshick; Zhi Wu,2023,1,cs.LG,federated-learning,94,ACL,5,False,bayesian,Fashion-MNIST,False
arxiv.202405.02281,Robust Lottery Ticket Hypothesis across Domains,"In this work, we tackle the problem of code generation by introducing GraphFormer. The core idea is to use flow matching to learn robust representations that generalize across domains. We validate our approach on competitive benchmarks and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Emily Chen; Hans Chen; Matthew Singh; Yuki Anderson,2024,5,cs.LG,federated-learning,84,ICML,4,True,transformer,ImageNet,False
arxiv.202302.02038,Neuromorphic Computing with Transformers,"We present a comprehensive study of image synthesis in the context of computer vision. Through systematic experiments on standard benchmarks, we identify key factors that influence model performance and propose DenseFormer as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Hao Bernard; Rui Amodei,2023,2,cs.NE,evolutionary-algorithms,28,arXiv-only,2,True,bayesian,ImageNet,False
arxiv.202309.01858,Multi-Modal Constitutional AI with Graph Neural Networks,"Motivated by recent progress in foundation models, we develop DualPath for text generation. Our framework integrates spectral normalization with a novel fusion module that captures temporal dynamics. Results on challenging real-world datasets show consistent improvements across all evaluation metrics, establishing a new baseline for future research.",Matthew Rossi,2023,9,cs.AI,alignment,3,ACL,1,False,transformer,MuJoCo,False
arxiv.201806.00038,Contrastive Hyperparameter Optimization,"We study the problem of image synthesis and propose AdaptNet, a scalable framework based on self-supervised pre-training. Our key insight is that auxiliary objectives provide complementary learning signals. Extensive experiments on competitive benchmarks show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Robert Bengio; Yun Popov; Zhi Rossi,2018,6,cs.LG,federated-learning,28,AAAI,3,True,rnn,Fashion-MNIST,False
arxiv.202001.00505,On Feature Selection via Prompt Tuning,"This paper presents ProtoLearn, designed for efficient relation extraction. By leveraging adversarial training and curriculum learning, our approach reduces computational cost by 28% while maintaining competitive performance on standard benchmarks. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Aditya Brown; Dario Williams; Laura Schmidt,2020,1,cs.LG,meta-learning,2187,arXiv-only,3,False,gnn,custom,False
arxiv.202507.02864,Machine Translation in Low-Resource Settings,"Recent advances in embodied AI have shown promising results for robot manipulation. However, existing methods suffer from computational overhead. We address this by proposing DiffuGen, which combines flow matching with energy-based models to overcome these challenges. Our experiments on multiple established benchmarks demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Hans Smith; Hans Zhu; Ian Li; Ilya Johnson; Jakob Petrov,2025,7,cs.CL,dialogue,1,arXiv-only,5,True,diffusion,SQuAD,False
arxiv.201905.00417,Collaborative Filtering via Contrastive Learning,"In this work, we tackle the problem of language understanding by introducing ScaleNet. The core idea is to use variational inference to learn robust representations that generalize across domains. We validate our approach on challenging real-world datasets and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",David Huang; Rahul Sutskever; Thomas Watanabe,2019,5,cs.IR,knowledge-graphs,120,ICLR,3,True,rnn,Natural Questions,False
arxiv.202008.00570,Point Cloud Processing across Domains,"We propose ContextFlow, a novel approach to robot manipulation. Our method leverages meta-learning to achieve state-of-the-art results on multiple established benchmarks. Experiments demonstrate improvements of 3.7% over previous methods. We further analyze the effectiveness of our approach through extensive ablation studies and show its generalization across multiple settings.",Anna Devlin; Kaiming He; Kenji Popov; Takeshi Huang,2020,8,cs.CV,object-detection,324,arXiv-only,4,False,ensemble,LSUN,False
arxiv.202408.02302,Conformal Prediction with Pre-trained Models,"Recent advances in embodied AI have shown promising results for text generation. However, existing methods suffer from computational overhead. We address this by proposing ContextFlow, which combines gradient checkpointing with graph convolutions to overcome these challenges. Our experiments on both synthetic and real-world data demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Andrew Liu; Fatima Liu; Ian Rodriguez; Matthew Tanaka; Qiang Vaswani,2024,8,stat.ML,time-series,3,NeurIPS,5,True,transformer,not specified,False
arxiv.201905.00396,Unsupervised Deep Learning Theory with Limited Labels,"Recent advances in multimodal learning have shown promising results for object detection. However, existing methods suffer from scalability issues. We address this by proposing AdaptNet, which combines residual connections with LoRA fine-tuning to overcome these challenges. Our experiments on both synthetic and real-world data demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Dario Liu; Fei Zhu; Jakob Gao; Marie Williams; Sarah LeCun; Yuki Johnson; Yuki Wilson,2019,5,cs.LG,representation-learning,2,arXiv-only,7,True,bayesian,custom,False
arxiv.201904.00200,Progressive Scene Understanding,"Recent advances in reinforcement learning have shown promising results for relation extraction. However, existing methods suffer from domain gap. We address this by proposing TransFormer++, which combines data augmentation with spectral normalization to overcome these challenges. Our experiments on widely-used evaluation protocols demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Ashish Ivanov; Luca Amodei; Luca Ma; Yuki Goodfellow,2019,4,cs.CV,object-detection,7,ACL,4,True,gnn,ModelNet40,False
arxiv.202004.00456,Efficient Multi-Agent Systems,"We present a comprehensive study of language understanding in the context of multimodal learning. Through systematic experiments on diverse evaluation suites, we identify key factors that influence model performance and propose ScaleNet as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Kaiming Williams; Yun Xu,2020,4,cs.AI,knowledge-representation,2,arXiv-only,2,False,transformer,custom,False
arxiv.202511.02955,Legged Locomotion with Vision Transformers,"We present a comprehensive study of robot manipulation in the context of graph learning. Through systematic experiments on both synthetic and real-world data, we identify key factors that influence model performance and propose SmartFuse as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Carlos Taylor; Ian Shah; Jun Wu; Percy He; Takeshi LeCun,2025,11,cs.RO,navigation,4,arXiv-only,5,True,transformer,OpenAI Gym,False
arxiv.202202.01645,Visual Question Answering using Knowledge Distillation,"We propose HyperNet, a novel approach to text generation. Our method leverages contrastive learning to achieve state-of-the-art results on widely-used evaluation protocols. Experiments demonstrate improvements of 5.4% over previous methods. We further analyze the effectiveness of our approach through extensive ablation studies and show its generalization across multiple settings.",Feng Martinez; Kaiming Chen; Omar Huang; Stefan Li; Wei Rodriguez,2022,2,cs.CV,3d-vision,3,EMNLP,5,True,other,CIFAR-100,False
arxiv.202309.01750,Panoptic Segmentation with Graph Neural Networks,"In this work, we tackle the problem of image classification by introducing SparseGPT. The core idea is to use LoRA fine-tuning to learn robust representations that generalize across domains. We validate our approach on challenging real-world datasets and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Hans Gao; James Zhou; Oriol Yang; Ross Martin; Yoshua Bernard,2023,9,cs.CV,image-segmentation,1,arXiv-only,5,False,transformer,LAION-5B,False
arxiv.202212.01359,Revisiting Image Super-Resolution via Prompt Tuning,"We present a comprehensive study of question answering in the context of neural architecture design. Through systematic experiments on standard benchmarks, we identify key factors that influence model performance and propose UniModel as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Qiang Radford,2022,12,cs.CV,image-segmentation,28,arXiv-only,1,True,reinforcement_learning,ImageNet,False
arxiv.202311.01755,Adaptive Object Detection using Knowledge Distillation,"We study the problem of anomaly detection and propose DiffuGen, a scalable framework based on mixture of experts. Our key insight is that auxiliary objectives provide complementary learning signals. Extensive experiments on widely-used evaluation protocols show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Luca Martin,2023,11,cs.CV,video-understanding,2,EMNLP,1,True,other,ImageNet,False
arxiv.202108.00776,On Motion Planning using Mixture of Experts,"We study the problem of visual reasoning and propose FlexiLearn, a scalable framework based on multi-head attention. Our key insight is that architectural simplicity often outperforms complex designs when properly scaled. Extensive experiments on standard benchmarks show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Omar Bernard,2021,8,cs.RO,human-robot-interaction,11,CVPR,1,True,transformer,proprietary,False
arxiv.202103.01096,Image Generation using Knowledge Distillation,"We study the problem of speech recognition and propose DeepReason, a scalable framework based on contrastive learning. Our key insight is that progressive training schedules significantly improve convergence. Extensive experiments on both synthetic and real-world data show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Michael Li,2021,3,cs.CV,face-recognition,75,CVPR,1,False,transformer,ImageNet,False
arxiv.202511.03094,Understanding AutoML in Low-Resource Settings,"This paper presents NeuralBridge, designed for efficient graph classification. By leveraging flow matching and denoising diffusion, our approach reduces computational cost by 30% while maintaining competitive performance on standard benchmarks. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Rahul Amodei,2025,11,cs.LG,deep-learning,1,arXiv-only,1,True,diffusion,custom,False
arxiv.201903.00427,Efficient Panoptic Segmentation using Large Language Models,"Recent advances in neural architecture design have shown promising results for object detection. However, existing methods suffer from training instability. We address this by proposing SparseGPT, which combines denoising diffusion with flow matching to overcome these challenges. Our experiments on challenging real-world datasets demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Benjamin Sun; David Singh; Fei Zhu; Yann Watanabe,2019,3,cs.CV,image-segmentation,522,NeurIPS,4,False,bayesian,ImageNet,False
arxiv.202501.02896,Progressive Neuroevolution,"In this work, we tackle the problem of speech recognition by introducing DenseFormer. The core idea is to use meta-learning to learn robust representations that generalize across domains. We validate our approach on challenging real-world datasets and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Aditya Hinton; Hiroshi Jones; Ian Hassan; Pierre Kumar; Ross Amodei; Tao Yang,2025,1,cs.NE,evolutionary-algorithms,0,arXiv-only,6,False,transformer,not specified,False
arxiv.201801.00192,Towards Gaussian Processes through Self-Supervision,"We present a comprehensive study of graph classification in the context of computer vision. Through systematic experiments on standard benchmarks, we identify key factors that influence model performance and propose DeepReason as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Fei Taylor; Pierre Yang,2018,1,stat.ML,density-estimation,212,EMNLP,2,False,rnn,not specified,False
arxiv.202211.01276,Action Recognition via Reinforcement Learning,"Recent advances in natural language processing have shown promising results for semantic segmentation. However, existing methods suffer from training instability. We address this by proposing DeepReason, which combines denoising diffusion with variational inference to overcome these challenges. Our experiments on challenging real-world datasets demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Andrew Vaswani; Luca Uszkoreit; Thomas Goodfellow,2022,11,cs.CV,video-understanding,7,AAAI,3,False,transformer,ShapeNet,False
arxiv.202204.01547,End-to-End Sim-to-Real Transfer via Prompt Tuning,"We present a comprehensive study of graph classification in the context of foundation models. Through systematic experiments on standard benchmarks, we identify key factors that influence model performance and propose EfficientAI as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Ilya Petrov; Michael LeCun; Tao Bernard,2022,4,cs.RO,autonomous-driving,4,arXiv-only,3,False,transformer,KITTI,False
arxiv.202304.01957,Contrastive Optimization Methods via Reinforcement Learning,"We study the problem of image synthesis and propose AutoScale, a scalable framework based on self-supervised pre-training. Our key insight is that hierarchical representations capture multi-scale patterns more effectively. Extensive experiments on standard benchmarks show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Ahmed Ali; Bo Uszkoreit; Luca Smith; Neha Kumar; Olga Rodriguez; Rahul Mueller,2023,4,cs.LG,representation-learning,12,NeurIPS,6,True,transformer,MNIST,False
arxiv.202503.02903,Rethinking Robot Manipulation across Domains,"This paper introduces ProtoLearn for visual reasoning. Unlike prior work that relies on residual connections, we design a contrastive learning framework that directly addresses label scarcity. Evaluation on challenging real-world datasets shows that our approach outperforms existing baselines by a significant margin while requiring fewer computational resources.",Benjamin Garcia; Benjamin Ma; Dmitri Sutskever; Hiroshi Yang; Ilya Shazeer; Robert Liang; Sergey Williams,2025,3,cs.RO,autonomous-driving,2,NeurIPS,7,True,transformer,custom,False
arxiv.202304.02043,Explainable Evolutionary Strategies across Domains,"We present a comprehensive study of robot manipulation in the context of graph learning. Through systematic experiments on challenging real-world datasets, we identify key factors that influence model performance and propose NeuralBridge as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Jean Petrov; Jian Vaswani; Kaiming Thomas; Rui Vaswani,2023,4,cs.NE,neural-architecture-search,4,ICLR,4,True,transformer,MNIST,False
arxiv.202004.00762,Conformal Prediction,"This paper presents NeuralBridge, designed for efficient recommendation. By leveraging spectral normalization and mixture of experts, our approach reduces computational cost by 51% while maintaining competitive performance on both synthetic and real-world data. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Anna Martin; Jian Gao; Priya Yang; Yuki Li,2020,4,stat.ML,density-estimation,3510,AAAI,4,True,transformer,Penn Treebank,False
arxiv.202209.01515,Point Cloud Processing with Pre-trained Models,"Recent advances in embodied AI have shown promising results for text generation. However, existing methods suffer from data heterogeneity. We address this by proposing HyperNet, which combines prompt tuning with LoRA fine-tuning to overcome these challenges. Our experiments on both synthetic and real-world data demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Andrei Wilson; Ivan Johnson; Matthew Wilson,2022,9,cs.CV,video-understanding,1,arXiv-only,3,True,gnn,ShapeNet,False
arxiv.202004.00705,Code Generation with Theoretical Guarantees,"In this work, we tackle the problem of visual reasoning by introducing EfficientAI. The core idea is to use self-supervised pre-training to learn robust representations that generalize across domains. We validate our approach on both synthetic and real-world data and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Benjamin Chen; Bo Suzuki; Luca Rossi; Noam Martinez; Oriol Amodei; Pierre Mohamed,2020,4,cs.CL,machine-translation,22,NeurIPS,6,True,cnn,SuperGLUE,True
arxiv.202409.02300,Graph-Based Continual Learning under Distribution Shift,"Motivated by recent progress in computer vision, we develop DiffuGen for image synthesis. Our framework integrates graph convolutions with a novel gating module that captures long-range dependencies. Results on large-scale datasets show consistent improvements across all evaluation metrics, establishing a new baseline for future research.",Kai Uszkoreit; Matthew Wilson; Michael Vaswani; Stefan Ma,2024,9,cs.LG,federated-learning,4,arXiv-only,4,True,transformer,MNIST,False
arxiv.201806.00101,Curriculum Representation Learning with Theoretical Guarantees,"We study the problem of visual reasoning and propose CrossModal, a scalable framework based on graph convolutions. Our key insight is that architectural simplicity often outperforms complex designs when properly scaled. Extensive experiments on large-scale datasets show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Omar Shazeer; Sarah Chen,2018,6,cs.LG,representation-learning,6,arXiv-only,2,True,cnn,custom,False
arxiv.202303.02105,Learning Multilingual Models with Limited Labels,"We propose GraphFormer, a novel approach to visual reasoning. Our method leverages energy-based models to achieve state-of-the-art results on large-scale datasets. Experiments demonstrate improvements of 4.7% over previous methods. We further analyze the effectiveness of our approach through extensive ablation studies and show its generalization across multiple settings.",David Ivanov; James Rossi; Tao Popov; Tao Shazeer; Yoshua Petrov,2023,3,cs.CL,question-answering,36,ACL,5,True,other,Common Crawl,False
arxiv.202205.01360,Grasping with Pre-trained Models,"We present a comprehensive study of image synthesis in the context of graph learning. Through systematic experiments on widely-used evaluation protocols, we identify key factors that influence model performance and propose SparseGPT as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Laura Kumar; Olga Zhu; Rahul Zhang,2022,5,cs.RO,navigation,204,NAACL,3,True,transformer,KITTI,False
arxiv.202511.02960,Text Generation via Prompt Tuning,"Motivated by recent progress in reinforcement learning, we develop FastTune for image synthesis. Our framework integrates LoRA fine-tuning with a novel attention module that captures semantic relationships. Results on challenging real-world datasets show consistent improvements across all evaluation metrics, establishing a new baseline for future research.",Andrei Goodfellow; Kai Wu; Marco Petrov; Oriol Hassan; Qiang Rossi; Thomas Dupont; Thomas Yamamoto; Yuki Patel,2025,11,cs.CL,sentiment-analysis,1,arXiv-only,8,False,transformer,The Pile,False
arxiv.201909.00357,Learning Spiking Neural Networks for Real-World Applications,"Recent advances in reinforcement learning have shown promising results for time series forecasting. However, existing methods suffer from catastrophic forgetting. We address this by proposing ContextFlow, which combines energy-based models with LoRA fine-tuning to overcome these challenges. Our experiments on both synthetic and real-world data demonstrate both improved accuracy and efficiency compared to state-of-the-art approaches.",Andrew Watanabe; Sarah Brown,2019,9,cs.NE,neural-architecture-search,148,ICLR,2,True,cnn,MNIST,False
arxiv.202202.01194,Multi-Task Visual Grounding,"We present a comprehensive study of semantic segmentation in the context of multimodal learning. Through systematic experiments on both synthetic and real-world data, we identify key factors that influence model performance and propose DeepReason as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Hans Zhang; Ian Vaswani; Rahul Sun; Sarah Yamamoto; Sergey Wu; Siddharth Mohamed; Tao Anderson,2022,2,cs.CV,object-detection,9,arXiv-only,7,True,transformer,ShapeNet,True
arxiv.202203.01401,Zero-Shot Language Modeling with Graph Neural Networks,"We present a comprehensive study of semantic segmentation in the context of computer vision. Through systematic experiments on both synthetic and real-world data, we identify key factors that influence model performance and propose MetaAdapt as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Andrei Sutskever; Dario Mohamed; Emily Girshick; Jakob Xu; Yann Zhu,2022,3,cs.CL,dialogue,117,ACL,5,False,cnn,OpenWebText,False
arxiv.202203.01689,Understanding Scene Understanding using Diffusion Models,"In this work, we tackle the problem of graph classification by introducing DeepMix. The core idea is to use denoising diffusion to learn robust representations that generalize across domains. We validate our approach on challenging real-world datasets and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Andrew Goodfellow; Ilya Suzuki; Rui Uszkoreit,2022,3,cs.CV,face-recognition,23554,CVPR,3,True,transformer,CelebA,False
arxiv.202307.02263,Rethinking Density Estimation with Theoretical Guarantees,"In this work, we tackle the problem of visual reasoning by introducing DeepMix. The core idea is to use energy-based models to learn robust representations that generalize across domains. We validate our approach on diverse evaluation suites and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Robert Li,2023,7,stat.ML,bayesian-methods,300,EMNLP,1,False,transformer,multiple,False
arxiv.202409.02275,Neural Architecture Search,"We present a comprehensive study of machine translation in the context of natural language processing. Through systematic experiments on widely-used evaluation protocols, we identify key factors that influence model performance and propose UniModel as a unified solution. Our approach achieves competitive results while being significantly more parameter-efficient than existing methods.",Carlos Garcia; Dario Suzuki; Feng Liu; James Goodfellow; Tao Johnson; Thomas Bianchi; Xin Brown,2024,9,cs.LG,automl,0,arXiv-only,7,False,transformer,multiple,False
arxiv.202203.01471,Privacy-Preserving General Intelligence,"We study the problem of text generation and propose MetaAdapt, a scalable framework based on curriculum learning. Our key insight is that auxiliary objectives provide complementary learning signals. Extensive experiments on standard benchmarks show that our method achieves new state-of-the-art results while maintaining practical inference times. Code and models are publicly available.",Ashish Hinton; Bo Liang; Dmitri Bernard; Ilya Gupta; Kaiming Liu; Marco Johnson,2022,3,cs.AI,alignment,230,arXiv-only,6,True,transformer,not specified,True
arxiv.202405.02693,Interpretable Prompt Engineering,"In this work, we tackle the problem of recommendation by introducing GraphFormer. The core idea is to use knowledge distillation to learn robust representations that generalize across domains. We validate our approach on competitive benchmarks and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Ashish Rossi; Bo Ren; Christopher Bengio; Ilya Sun; Omar Chen; Rui Kumar,2024,5,cs.CL,dialogue,3,NeurIPS,6,True,transformer,GLUE,False
arxiv.202201.01231,Density Estimation using Attention Mechanisms,"Motivated by recent progress in multimodal learning, we develop FastTune for relation extraction. Our framework integrates adversarial training with a novel fusion module that captures long-range dependencies. Results on standard benchmarks show consistent improvements across all evaluation metrics, establishing a new baseline for future research.",Benjamin Sun; Diego Sutskever; Ming Brown,2022,1,stat.ML,time-series,14,ICML,3,True,reinforcement_learning,Penn Treebank,False
arxiv.202010.00457,Sentiment Analysis with Graph Neural Networks,"We propose DiffuGen, a novel approach to anomaly detection. Our method leverages contrastive learning to achieve state-of-the-art results on competitive benchmarks. Experiments demonstrate improvements of 1.5% over previous methods. We further analyze the effectiveness of our approach through extensive ablation studies and show its generalization across multiple settings.",Christopher Shah; Oriol Taylor; Pierre Gao; Pierre Wilson; Ross Gupta; Wei Jones,2020,10,cs.CL,text-generation,18,ACL,6,True,gnn,SST-2,False
arxiv.201905.00274,Graph-Based Spiking Neural Networks,"In this work, we tackle the problem of document retrieval by introducing SparseGPT. The core idea is to use meta-learning to learn robust representations that generalize across domains. We validate our approach on widely-used evaluation protocols and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Laura Yang,2019,5,cs.NE,neural-architecture-search,2,arXiv-only,1,True,rnn,custom,False
arxiv.202008.00540,Multilingual Models,"In this work, we tackle the problem of machine translation by introducing EfficientAI. The core idea is to use energy-based models to learn robust representations that generalize across domains. We validate our approach on both synthetic and real-world data and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Aditya Ivanov; Ahmed Devlin; Ashish Ma; Pierre Bianchi; Rahul Bianchi,2020,8,cs.CL,summarization,9,NAACL,5,False,transformer,WMT,False
arxiv.202508.03132,Scalable Visual Question Answering,"In this work, we tackle the problem of text generation by introducing GraphFormer. The core idea is to use denoising diffusion to learn robust representations that generalize across domains. We validate our approach on both synthetic and real-world data and demonstrate substantial improvements. We also provide theoretical analysis supporting our design choices.",Hao Ali; Takeshi Sun,2025,8,cs.CV,image-segmentation,21,arXiv-only,2,False,ensemble,ModelNet40,False
arxiv.202304.01701,Understanding Question Answering through Self-Supervision,"This paper presents RobustLearn, designed for efficient document retrieval. By leveraging LoRA fine-tuning and prompt tuning, our approach reduces computational cost by 53% while maintaining competitive performance on multiple established benchmarks. We provide detailed analysis of the trade-offs between efficiency and accuracy.",Daniel Singh; Michael Lin; Stefan Sun; Xin Yamamoto,2023,4,cs.CL,sentiment-analysis,42,ICLR,4,False,reinforcement_learning,The Pile,False
