year_month,skill,skill_category,job_count,median_salary_mid_usd,remote_share,share_of_postings
2024-04,scikit-learn,ml,131,155000,0.366,0.1494
2024-04,Excel,bi,130,127500,0.408,0.1482
2024-04,Feature Engineering,ml,127,155000,0.409,0.1448
2024-04,CI/CD,platform,114,148000,0.43,0.13
2024-04,Kubernetes,platform,112,151500,0.411,0.1277
2024-04,Prompt Engineering,llm,105,168000,0.448,0.1197
2024-04,Feature Store,mlops,104,151500,0.433,0.1186
2024-04,MLflow,mlops,102,146500,0.441,0.1163
2024-04,FastAPI,backend,95,174000,0.432,0.1083
2024-04,Jupyter,tooling,88,144000,0.42,0.1003
2024-04,RAG,llm,84,171000,0.381,0.0958
2024-04,LLM Evaluation,llm,80,176000,0.425,0.0912
2024-04,Stakeholder Management,product,71,130000,0.451,0.081
2024-04,Vector Databases,llm,71,168000,0.493,0.081
2024-04,Transformers,ml,67,152000,0.433,0.0764
2024-04,TensorFlow,ml,64,152000,0.453,0.073
2024-04,LangChain,llm,60,167000,0.467,0.0684
2024-04,Kafka,data-platform,59,152000,0.356,0.0673
2024-04,OpenAI API,llm,59,168000,0.39,0.0673
2024-05,Python,programming,833,144000,0.393,0.8996
2024-05,SQL,analytics,565,137000,0.395,0.6102
2024-05,GCP,cloud,374,147000,0.366,0.4039
2024-05,Azure,cloud,337,147000,0.433,0.3639
2024-05,AWS,cloud,330,145000,0.412,0.3564
2024-05,Statistics,analytics,285,136000,0.432,0.3078
2024-05,A/B Testing,analytics,219,135000,0.361,0.2365
2024-05,BigQuery,data-platform,218,139000,0.372,0.2354
2024-05,PyTorch,ml,217,160000,0.47,0.2343
2024-05,Looker,bi,207,134000,0.386,0.2235
2024-05,Pandas,analytics,207,137000,0.367,0.2235
2024-05,Snowflake,data-platform,198,139000,0.379,0.2138
2024-05,Docker,platform,181,159000,0.365,0.1955
2024-05,Databricks,data-platform,165,137000,0.442,0.1782
2024-05,Experiment Design,analytics,160,144500,0.394,0.1728
2024-05,Tableau,bi,158,134000,0.392,0.1706
2024-05,XGBoost,ml,151,141000,0.417,0.1631
2024-05,Excel,bi,150,134500,0.42,0.162
2024-05,scikit-learn,ml,148,140500,0.392,0.1598
2024-05,dbt,data-platform,139,140000,0.381,0.1501
2024-05,Feature Engineering,ml,137,142000,0.365,0.1479
2024-05,Spark,data-platform,130,143500,0.415,0.1404
2024-05,Airflow,data-platform,127,148000,0.472,0.1371
2024-05,Kubernetes,platform,124,151500,0.355,0.1339
2024-05,Feature Store,mlops,122,159000,0.369,0.1317
2024-05,Data Modeling,analytics,120,142500,0.392,0.1296
2024-05,MLflow,mlops,116,155500,0.379,0.1253
2024-05,CI/CD,platform,113,159000,0.345,0.122
2024-05,Prompt Engineering,llm,105,151000,0.333,0.1134
2024-05,Jupyter,tooling,99,145000,0.384,0.1069
2024-05,FastAPI,backend,97,157000,0.33,0.1048
2024-05,LLM Evaluation,llm,78,157000,0.333,0.0842
2024-05,Vector Databases,llm,76,156000,0.316,0.0821
2024-05,LangChain,llm,73,154000,0.329,0.0788
2024-05,RAG,llm,72,154000,0.264,0.0778
2024-05,Kafka,data-platform,71,135000,0.479,0.0767
2024-05,Stakeholder Management,product,63,145000,0.333,0.068
2024-05,OpenAI API,llm,61,165000,0.393,0.0659
2024-05,TensorFlow,ml,60,161500,0.433,0.0648
2024-05,Transformers,ml,57,144000,0.491,0.0616
2024-06,Python,programming,850,149000,0.419,0.8919
2024-06,SQL,analytics,564,140000,0.402,0.5918
2024-06,Azure,cloud,370,147000,0.424,0.3882
2024-06,GCP,cloud,364,147500,0.387,0.382
2024-06,AWS,cloud,350,147000,0.451,0.3673
2024-06,Statistics,analytics,273,140000,0.41,0.2865
2024-06,BigQuery,data-platform,225,148000,0.418,0.2361
2024-06,Looker,bi,219,135000,0.388,0.2298
2024-06,PyTorch,ml,206,157000,0.422,0.2162
2024-06,Snowflake,data-platform,203,143000,0.394,0.213
2024-06,Docker,platform,200,166500,0.41,0.2099
2024-06,A/B Testing,analytics,198,138500,0.399,0.2078
2024-06,Pandas,analytics,185,132000,0.373,0.1941
2024-06,Tableau,bi,162,127500,0.346,0.17
2024-06,Databricks,data-platform,157,142000,0.401,0.1647
2024-06,Excel,bi,152,127000,0.355,0.1595
2024-06,Experiment Design,analytics,149,153000,0.423,0.1563
2024-06,Spark,data-platform,149,149000,0.423,0.1563
2024-06,dbt,data-platform,149,145000,0.423,0.1563
2024-06,Data Modeling,analytics,143,151000,0.413,0.1501
2024-06,Prompt Engineering,llm,131,161000,0.473,0.1375
2024-06,Airflow,data-platform,130,155500,0.4,0.1364
2024-06,XGBoost,ml,129,147000,0.372,0.1354
2024-06,Feature Engineering,ml,125,149000,0.432,0.1312
2024-06,scikit-learn,ml,121,145000,0.397,0.127
2024-06,MLflow,mlops,119,166000,0.361,0.1249
2024-06,Feature Store,mlops,116,151000,0.414,0.1217
2024-06,CI/CD,platform,113,160000,0.398,0.1186
2024-06,FastAPI,backend,110,174000,0.482,0.1154
2024-06,Kubernetes,platform,102,161500,0.461,0.107
2024-06,LLM Evaluation,llm,102,178000,0.441,0.107
2024-06,RAG,llm,93,173000,0.516,0.0976
2024-06,Jupyter,tooling,84,138500,0.393,0.0881
2024-06,Vector Databases,llm,84,170000,0.429,0.0881
2024-06,Kafka,data-platform,79,143000,0.43,0.0829
2024-06,TensorFlow,ml,74,159000,0.432,0.0776
2024-06,Stakeholder Management,product,69,117000,0.406,0.0724
2024-06,OpenAI API,llm,68,154500,0.515,0.0714
2024-06,Transformers,ml,61,162000,0.574,0.064
2024-06,LangChain,llm,59,162000,0.458,0.0619
2024-07,Python,programming,954,150000,0.388,0.8825
2024-07,SQL,analytics,638,139000,0.418,0.5902
2024-07,AWS,cloud,408,145000,0.417,0.3774
2024-07,Azure,cloud,405,144000,0.405,0.3747
2024-07,GCP,cloud,363,140000,0.369,0.3358
2024-07,Statistics,analytics,307,148000,0.44,0.284
2024-07,Snowflake,data-platform,251,143000,0.39,0.2322
2024-07,BigQuery,data-platform,250,145000,0.364,0.2313
2024-07,PyTorch,ml,245,155000,0.445,0.2266
2024-07,Looker,bi,243,133000,0.383,0.2248
2024-07,Pandas,analytics,227,142000,0.41,0.21
2024-07,A/B Testing,analytics,216,140000,0.412,0.1998
2024-07,Experiment Design,analytics,200,151500,0.46,0.185
2024-07,Docker,platform,195,155000,0.364,0.1804
2024-07,Databricks,data-platform,187,147000,0.385,0.173
2024-07,dbt,data-platform,172,137500,0.366,0.1591
2024-07,XGBoost,ml,165,162000,0.436,0.1526
2024-07,Feature Engineering,ml,163,151000,0.436,0.1508
2024-07,Excel,bi,162,128500,0.432,0.1499
2024-07,Tableau,bi,162,131500,0.451,0.1499
2024-07,scikit-learn,ml,157,161000,0.459,0.1452
2024-07,Spark,data-platform,153,148000,0.405,0.1415
2024-07,Data Modeling,analytics,152,137000,0.382,0.1406
2024-07,Prompt Engineering,llm,151,168000,0.344,0.1397
2024-07,Airflow,data-platform,150,145000,0.387,0.1388
2024-07,CI/CD,platform,131,141000,0.397,0.1212
2024-07,Feature Store,mlops,130,141000,0.362,0.1203
2024-07,Kubernetes,platform,127,148000,0.394,0.1175
2024-07,FastAPI,backend,124,166500,0.29,0.1147
2024-07,MLflow,mlops,122,148000,0.369,0.1129
2024-07,Jupyter,tooling,117,149000,0.402,0.1082
2024-07,RAG,llm,107,170000,0.355,0.099
2024-07,LLM Evaluation,llm,100,177500,0.35,0.0925
2024-07,Vector Databases,llm,93,176000,0.301,0.086
2024-07,LangChain,llm,89,163000,0.27,0.0823
2024-07,Stakeholder Management,product,86,133000,0.477,0.0796
2024-07,Kafka,data-platform,80,135000,0.425,0.074
2024-07,Transformers,ml,74,168500,0.378,0.0685
2024-07,TensorFlow,ml,72,149000,0.458,0.0666
2024-07,OpenAI API,llm,69,158000,0.377,0.0638
2024-08,Python,programming,889,146000,0.406,0.869
2024-08,SQL,analytics,628,138000,0.371,0.6139
2024-08,Azure,cloud,372,145500,0.384,0.3636
2024-08,GCP,cloud,368,143000,0.332,0.3597
2024-08,AWS,cloud,366,143000,0.415,0.3578
2024-08,Statistics,analytics,283,142000,0.403,0.2766
2024-08,Snowflake,data-platform,252,134000,0.401,0.2463
2024-08,Looker,bi,248,131000,0.359,0.2424
2024-08,BigQuery,data-platform,236,141000,0.356,0.2307
2024-08,PyTorch,ml,233,155000,0.416,0.2278
2024-08,Databricks,data-platform,189,143000,0.434,0.1848
2024-08,A/B Testing,analytics,187,140000,0.406,0.1828
2024-08,Pandas,analytics,187,140000,0.396,0.1828
2024-08,Docker,platform,177,152000,0.412,0.173
2024-08,Excel,bi,175,126000,0.366,0.1711
2024-08,Tableau,bi,171,135000,0.38,0.1672
2024-08,Spark,data-platform,165,144000,0.436,0.1613
2024-08,dbt,data-platform,165,138000,0.358,0.1613
2024-08,Experiment Design,analytics,164,144500,0.354,0.1603
2024-08,Data Modeling,analytics,159,135000,0.371,0.1554
2024-08,Airflow,data-platform,157,141000,0.42,0.1535
2024-08,XGBoost,ml,141,147000,0.348,0.1378
2024-08,scikit-learn,ml,141,147000,0.376,0.1378
2024-08,Feature Engineering,ml,139,150000,0.367,0.1359
2024-08,Prompt Engineering,llm,136,154000,0.471,0.1329
2024-08,CI/CD,platform,119,151000,0.445,0.1163
2024-08,Feature Store,mlops,118,148000,0.449,0.1153
2024-08,FastAPI,backend,115,155000,0.452,0.1124
2024-08,MLflow,mlops,112,151500,0.429,0.1095
2024-08,Kubernetes,platform,106,153500,0.377,0.1036
2024-08,Jupyter,tooling,101,143000,0.406,0.0987
2024-08,Stakeholder Management,product,99,128000,0.313,0.0968
2024-08,LLM Evaluation,llm,98,163000,0.459,0.0958
2024-08,RAG,llm,95,149000,0.474,0.0929
2024-08,Kafka,data-platform,89,124000,0.371,0.087
2024-08,Vector Databases,llm,83,154000,0.47,0.0811
2024-08,TensorFlow,ml,75,150000,0.507,0.0733
2024-08,Transformers,ml,75,164000,0.467,0.0733
2024-08,OpenAI API,llm,61,161000,0.344,0.0596
2024-08,LangChain,llm,57,159000,0.491,0.0557
2024-09,Python,programming,1004,147000,0.431,0.8815
2024-09,SQL,analytics,661,136000,0.437,0.5803
2024-09,GCP,cloud,438,142000,0.461,0.3845
2024-09,AWS,cloud,432,139000,0.442,0.3793
2024-09,Azure,cloud,426,147000,0.42,0.374
2024-09,Statistics,analytics,289,144000,0.474,0.2537
2024-09,PyTorch,ml,266,150000,0.406,0.2335
2024-09,BigQuery,data-platform,261,142000,0.414,0.2291
2024-09,Snowflake,data-platform,260,136000,0.377,0.2283
2024-09,Looker,bi,247,125000,0.453,0.2169
2024-09,Docker,platform,230,149000,0.452,0.2019
2024-09,A/B Testing,analytics,227,135000,0.458,0.1993
2024-09,Pandas,analytics,211,135000,0.455,0.1853
2024-09,Databricks,data-platform,206,144000,0.35,0.1809
2024-09,Experiment Design,analytics,197,151000,0.345,0.173
2024-09,dbt,data-platform,191,139000,0.435,0.1677
2024-09,Spark,data-platform,186,137500,0.43,0.1633
2024-09,Airflow,data-platform,185,145000,0.411,0.1624
2024-09,Tableau,bi,178,125500,0.466,0.1563
2024-09,Excel,bi,173,124000,0.48,0.1519
2024-09,Data Modeling,analytics,159,136000,0.447,0.1396
2024-09,scikit-learn,ml,158,149000,0.392,0.1387
2024-09,Prompt Engineering,llm,155,172000,0.342,0.1361
2024-09,XGBoost,ml,153,150000,0.412,0.1343
2024-09,Feature Engineering,ml,150,150000,0.413,0.1317
2024-09,Kubernetes,platform,146,144500,0.473,0.1282
2024-09,Feature Store,mlops,145,144000,0.448,0.1273
2024-09,MLflow,mlops,143,149000,0.434,0.1255
2024-09,FastAPI,backend,137,172000,0.387,0.1203
2024-09,CI/CD,platform,135,146000,0.489,0.1185
2024-09,RAG,llm,114,170500,0.377,0.1001
2024-09,LLM Evaluation,llm,112,178000,0.393,0.0983
2024-09,Jupyter,tooling,100,146000,0.46,0.0878
2024-09,TensorFlow,ml,98,146500,0.367,0.086
2024-09,Vector Databases,llm,96,179000,0.385,0.0843
2024-09,Stakeholder Management,product,95,126000,0.389,0.0834
2024-09,Kafka,data-platform,92,139500,0.424,0.0808
2024-09,LangChain,llm,85,160000,0.4,0.0746
2024-09,Transformers,ml,78,161500,0.295,0.0685
2024-09,OpenAI API,llm,76,158000,0.329,0.0667
2024-10,Python,programming,1045,150000,0.397,0.8901
2024-10,SQL,analytics,700,139000,0.42,0.5963
2024-10,AWS,cloud,445,153000,0.384,0.379
2024-10,Azure,cloud,436,144500,0.397,0.3714
2024-10,GCP,cloud,414,149000,0.394,0.3526
2024-10,Statistics,analytics,327,136000,0.404,0.2785
2024-10,PyTorch,ml,278,157000,0.324,0.2368
2024-10,Snowflake,data-platform,271,148000,0.373,0.2308
2024-10,Looker,bi,259,130000,0.429,0.2206
2024-10,BigQuery,data-platform,251,147000,0.426,0.2138
2024-10,Pandas,analytics,251,133000,0.418,0.2138
2024-10,A/B Testing,analytics,246,134000,0.407,0.2095
2024-10,Databricks,data-platform,232,144500,0.466,0.1976
2024-10,Docker,platform,230,156000,0.4,0.1959
2024-10,Experiment Design,analytics,204,149500,0.387,0.1738
2024-10,XGBoost,ml,187,150000,0.401,0.1593
2024-10,Tableau,bi,184,129000,0.418,0.1567
2024-10,Excel,bi,182,127500,0.418,0.155
2024-10,Feature Engineering,ml,182,152000,0.385,0.155
2024-10,Airflow,data-platform,178,154500,0.354,0.1516
2024-10,scikit-learn,ml,172,143000,0.366,0.1465
2024-10,dbt,data-platform,171,148000,0.444,0.1457
2024-10,Spark,data-platform,166,149000,0.386,0.1414
2024-10,Data Modeling,analytics,150,150500,0.433,0.1278
2024-10,MLflow,mlops,150,156000,0.38,0.1278
2024-10,Prompt Engineering,llm,149,163000,0.443,0.1269
2024-10,Feature Store,mlops,144,156000,0.361,0.1227
2024-10,Kubernetes,platform,140,155000,0.371,0.1193
2024-10,FastAPI,backend,138,170500,0.428,0.1175
2024-10,Jupyter,tooling,128,138500,0.398,0.109
2024-10,RAG,llm,124,168500,0.435,0.1056
2024-10,CI/CD,platform,113,154000,0.301,0.0963
2024-10,LLM Evaluation,llm,113,163000,0.398,0.0963
2024-10,Vector Databases,llm,104,165000,0.452,0.0886
2024-10,Stakeholder Management,product,97,136000,0.381,0.0826
2024-10,Kafka,data-platform,91,148000,0.352,0.0775
2024-10,Transformers,ml,87,178000,0.368,0.0741
2024-10,TensorFlow,ml,82,143000,0.305,0.0698
2024-10,LangChain,llm,80,180000,0.4,0.0681
2024-10,OpenAI API,llm,68,167500,0.368,0.0579
2024-11,Python,programming,1039,142000,0.417,0.8903
2024-11,SQL,analytics,726,136000,0.408,0.6221
2024-11,AWS,cloud,437,146000,0.426,0.3745
2024-11,Azure,cloud,423,137000,0.395,0.3625
2024-11,GCP,cloud,407,140000,0.445,0.3488
2024-11,Statistics,analytics,343,141000,0.417,0.2939
2024-11,Snowflake,data-platform,286,137500,0.42,0.2451
2024-11,Looker,bi,280,123500,0.411,0.2399
2024-11,BigQuery,data-platform,273,137000,0.447,0.2339
2024-11,Pandas,analytics,270,138500,0.407,0.2314
2024-11,A/B Testing,analytics,247,131000,0.397,0.2117
2024-11,PyTorch,ml,230,147500,0.422,0.1971
2024-11,Databricks,data-platform,212,137500,0.377,0.1817
2024-11,Excel,bi,203,129000,0.419,0.174
2024-11,Tableau,bi,193,130000,0.415,0.1654
2024-11,dbt,data-platform,192,139500,0.427,0.1645
2024-11,Experiment Design,analytics,190,137000,0.389,0.1628
2024-11,Docker,platform,186,144000,0.441,0.1594
2024-11,Data Modeling,analytics,175,137000,0.417,0.15
2024-11,Spark,data-platform,174,146500,0.448,0.1491
2024-11,Airflow,data-platform,173,145000,0.445,0.1482
2024-11,Feature Engineering,ml,161,135000,0.36,0.138
2024-11,Prompt Engineering,llm,161,154000,0.441,0.138
2024-11,scikit-learn,ml,156,135500,0.359,0.1337
2024-11,XGBoost,ml,153,137000,0.392,0.1311
2024-11,FastAPI,backend,133,154000,0.406,0.114
2024-11,Feature Store,mlops,128,147000,0.406,0.1097
2024-11,Jupyter,tooling,122,142500,0.385,0.1045
2024-11,MLflow,mlops,122,147000,0.418,0.1045
2024-11,CI/CD,platform,115,146000,0.452,0.0985
2024-11,LLM Evaluation,llm,112,154000,0.393,0.096
2024-11,RAG,llm,107,153000,0.439,0.0917
2024-11,Kubernetes,platform,105,146000,0.476,0.09
2024-11,Stakeholder Management,product,101,130000,0.416,0.0865
2024-11,Vector Databases,llm,100,153500,0.46,0.0857
2024-11,Kafka,data-platform,97,138000,0.423,0.0831
2024-11,Transformers,ml,91,149000,0.352,0.078
2024-11,LangChain,llm,77,141000,0.455,0.066
2024-11,TensorFlow,ml,66,148000,0.409,0.0566
2024-11,OpenAI API,llm,63,150000,0.444,0.054
2024-12,Python,programming,1110,148000,0.42,0.8831
2024-12,SQL,analytics,772,141000,0.409,0.6142
2024-12,AWS,cloud,501,144000,0.403,0.3986
2024-12,GCP,cloud,472,145000,0.456,0.3755
2024-12,Azure,cloud,470,146500,0.391,0.3739
2024-12,Statistics,analytics,337,141000,0.424,0.2681
2024-12,BigQuery,data-platform,314,140000,0.452,0.2498
2024-12,Snowflake,data-platform,297,142000,0.431,0.2363
2024-12,Looker,bi,285,134000,0.4,0.2267
2024-12,PyTorch,ml,279,151000,0.427,0.222
2024-12,A/B Testing,analytics,256,135500,0.43,0.2037
2024-12,Pandas,analytics,249,135000,0.426,0.1981
2024-12,Docker,platform,248,158500,0.371,0.1973
2024-12,Databricks,data-platform,228,145000,0.36,0.1814
2024-12,Experiment Design,analytics,225,144000,0.4,0.179
2024-12,dbt,data-platform,217,143000,0.424,0.1726
2024-12,Airflow,data-platform,208,145000,0.428,0.1655
2024-12,Spark,data-platform,208,147500,0.418,0.1655
2024-12,Data Modeling,analytics,197,145000,0.426,0.1567
2024-12,Tableau,bi,196,128000,0.413,0.1559
2024-12,Feature Engineering,ml,193,148000,0.389,0.1535
2024-12,Excel,bi,192,127500,0.401,0.1527
2024-12,scikit-learn,ml,190,148000,0.395,0.1512
2024-12,XGBoost,ml,181,150000,0.403,0.144
2024-12,MLflow,mlops,169,152000,0.373,0.1344
2024-12,Kubernetes,platform,156,162000,0.41,0.1241
2024-12,Prompt Engineering,llm,152,161000,0.401,0.1209
2024-12,Feature Store,mlops,151,154000,0.351,0.1201
2024-12,CI/CD,platform,147,152000,0.395,0.1169
2024-12,Jupyter,tooling,143,148000,0.406,0.1138
2024-12,FastAPI,backend,130,168500,0.392,0.1034
2024-12,RAG,llm,121,168000,0.446,0.0963
2024-12,LLM Evaluation,llm,107,161000,0.43,0.0851
2024-12,Kafka,data-platform,104,142000,0.49,0.0827
2024-12,Stakeholder Management,product,103,134000,0.417,0.0819
2024-12,Vector Databases,llm,103,165000,0.398,0.0819
2024-12,TensorFlow,ml,95,155000,0.389,0.0756
2024-12,Transformers,ml,89,161000,0.449,0.0708
2024-12,LangChain,llm,79,165000,0.38,0.0628
2024-12,OpenAI API,llm,74,162500,0.514,0.0589
2025-01,Python,programming,1080,149000,0.419,0.8558
2025-01,SQL,analytics,725,139000,0.399,0.5745
2025-01,Azure,cloud,466,146000,0.391,0.3693
2025-01,GCP,cloud,463,149000,0.43,0.3669
2025-01,AWS,cloud,461,148000,0.393,0.3653
2025-01,Statistics,analytics,311,134000,0.412,0.2464
2025-01,Snowflake,data-platform,292,146500,0.353,0.2314
2025-01,PyTorch,ml,278,156500,0.432,0.2203
2025-01,Looker,bi,275,130000,0.382,0.2179
2025-01,BigQuery,data-platform,271,148000,0.399,0.2147
2025-01,Docker,platform,250,165000,0.436,0.1981
2025-01,Databricks,data-platform,239,148000,0.397,0.1894
2025-01,Pandas,analytics,235,132000,0.417,0.1862
2025-01,A/B Testing,analytics,229,132000,0.424,0.1815
