job_id,skill,skill_category,importance,proficiency_level,is_genai_skill
JOB000010,Kubernetes,platform,nice_to_have,basic,0
JOB000011,Python,programming,core,advanced,0
JOB000011,Airflow,data-platform,core,advanced,0
JOB000011,Azure,cloud,core,advanced,0
JOB000011,Databricks,data-platform,strong,intermediate,0
JOB000011,Data Modeling,analytics,strong,intermediate,0
JOB000011,Snowflake,data-platform,strong,intermediate,0
JOB000011,SQL,analytics,nice_to_have,basic,0
JOB000012,Product Strategy,product,core,advanced,0
JOB000012,SQL,analytics,core,advanced,0
JOB000012,Prompt Engineering,llm,core,advanced,1
JOB000012,Roadmapping,product,strong,intermediate,0
JOB000012,Experiment Design,analytics,strong,intermediate,0
JOB000012,AWS,cloud,strong,intermediate,0
JOB000012,Analytics,analytics,nice_to_have,basic,0
JOB000013,SQL,analytics,core,advanced,0
JOB000013,Airflow,data-platform,core,advanced,0
JOB000013,AWS,cloud,core,advanced,0
JOB000013,Spark,data-platform,strong,intermediate,0
JOB000013,Python,programming,strong,intermediate,0
JOB000013,Azure,cloud,strong,intermediate,0
JOB000013,Snowflake,data-platform,nice_to_have,basic,0
JOB000013,dbt,data-platform,nice_to_have,basic,0
JOB000013,Kafka,data-platform,nice_to_have,basic,0
JOB000014,Python,programming,core,advanced,0
JOB000014,Prometheus,platform,core,advanced,0
JOB000014,Kubernetes,platform,core,advanced,0
JOB000014,MLflow,mlops,strong,intermediate,0
JOB000014,CI/CD,platform,strong,intermediate,0
JOB000014,Docker,platform,strong,intermediate,0
JOB000014,Terraform,platform,nice_to_have,basic,0
JOB000015,dbt,data-platform,core,advanced,0
JOB000015,Metrics Layer,analytics,core,advanced,0
JOB000015,Git,tooling,core,advanced,0
JOB000015,Data Modeling,analytics,strong,intermediate,0
JOB000015,Python,programming,strong,intermediate,0
JOB000015,Snowflake,data-platform,strong,intermediate,0
JOB000015,Looker,bi,nice_to_have,basic,0
JOB000015,BigQuery,data-platform,nice_to_have,basic,0
JOB000015,SQL,analytics,nice_to_have,basic,0
JOB000016,Python,programming,core,advanced,0
JOB000016,Docker,platform,core,advanced,0
JOB000016,Feature Store,mlops,core,advanced,0
JOB000016,Azure,cloud,strong,intermediate,0
JOB000016,Model Monitoring,mlops,strong,intermediate,0
JOB000016,AWS,cloud,strong,intermediate,0
JOB000016,GCP,cloud,nice_to_have,basic,0
JOB000016,MLflow,mlops,nice_to_have,basic,0
JOB000016,Prometheus,platform,nice_to_have,basic,0
JOB000016,Kubernetes,platform,nice_to_have,basic,0
JOB000017,Data Modeling,analytics,core,advanced,0
JOB000017,Databricks,data-platform,core,advanced,0
JOB000017,Airflow,data-platform,core,advanced,0
JOB000017,SQL,analytics,strong,intermediate,0
JOB000017,Python,programming,strong,intermediate,0
JOB000017,BigQuery,data-platform,strong,intermediate,0
JOB000017,AWS,cloud,nice_to_have,basic,0
JOB000017,Azure,cloud,nice_to_have,basic,0
JOB000017,Snowflake,data-platform,nice_to_have,basic,0
JOB000017,Spark,data-platform,nice_to_have,basic,0
JOB000017,Kafka,data-platform,nice_to_have,basic,0
JOB000018,SQL,analytics,core,advanced,0
JOB000018,Dashboarding,bi,core,advanced,0
JOB000018,Power BI,bi,core,advanced,0
JOB000018,Looker,bi,strong,intermediate,0
JOB000018,Excel,bi,strong,intermediate,0
JOB000018,Tableau,bi,strong,intermediate,0
JOB000018,Stakeholder Management,product,nice_to_have,basic,0
JOB000019,SQL,analytics,core,advanced,0
JOB000019,Excel,bi,core,advanced,0
JOB000019,Dashboarding,bi,core,advanced,0
JOB000019,Tableau,bi,strong,intermediate,0
JOB000019,Looker,bi,strong,intermediate,0
JOB000019,Power BI,bi,strong,intermediate,0
JOB000019,Stakeholder Management,product,nice_to_have,basic,0
JOB000020,Python,programming,core,advanced,0
JOB000020,Transformers,ml,core,advanced,1
JOB000020,Prompt Engineering,llm,core,advanced,1
JOB000020,vLLM,llm,strong,intermediate,1
JOB000020,FastAPI,backend,strong,intermediate,0
JOB000020,BigQuery,data-platform,strong,intermediate,0
JOB000020,OpenAI API,llm,nice_to_have,basic,1
JOB000020,RAG,llm,nice_to_have,basic,1
JOB000020,LLM Evaluation,llm,nice_to_have,basic,1
JOB000021,Python,programming,core,advanced,0
JOB000021,Prompt Engineering,llm,core,advanced,1
JOB000021,Vector Databases,llm,core,advanced,1
JOB000021,Snowflake,data-platform,strong,intermediate,0
JOB000021,LLM Evaluation,llm,strong,intermediate,1
JOB000021,Transformers,ml,strong,intermediate,1
JOB000021,Guardrails,llm,nice_to_have,basic,1
JOB000021,Fine-Tuning,llm,nice_to_have,basic,1
JOB000021,vLLM,llm,nice_to_have,basic,1
JOB000021,AWS,cloud,nice_to_have,basic,0
JOB000022,Python,programming,core,advanced,0
JOB000022,Prompt Engineering,llm,core,advanced,1
JOB000022,Anthropic API,llm,core,advanced,1
JOB000022,Synthetic Data,llm,strong,intermediate,1
JOB000022,Fine-Tuning,llm,strong,intermediate,1
JOB000022,Transformers,ml,strong,intermediate,1
JOB000022,DSPy,llm,nice_to_have,basic,1
JOB000022,GCP,cloud,nice_to_have,basic,0
JOB000023,GCP,cloud,core,advanced,0
JOB000023,Research Methods,research,core,advanced,0
JOB000023,Transformers,ml,core,advanced,1
JOB000023,BigQuery,data-platform,strong,intermediate,0
JOB000023,Deep Learning,ml,strong,intermediate,0
JOB000023,Distributed Training,mlops,strong,intermediate,0
JOB000023,pgvector,llm,nice_to_have,basic,1
JOB000023,PyTorch,ml,nice_to_have,basic,0
JOB000023,Python,programming,nice_to_have,basic,0
JOB000023,Anthropic API,llm,nice_to_have,basic,1
JOB000023,RLHF,llm,nice_to_have,basic,1
JOB000024,Prompt Engineering,llm,core,advanced,1
JOB000024,Synthetic Data,llm,core,advanced,1
JOB000024,vLLM,llm,core,advanced,1
JOB000024,Python,programming,strong,intermediate,0
JOB000024,OpenAI API,llm,strong,intermediate,1
JOB000024,LLM Evaluation,llm,strong,intermediate,1
JOB000024,Vector Databases,llm,nice_to_have,basic,1
JOB000024,FastAPI,backend,nice_to_have,basic,0
JOB000025,BigQuery,data-platform,core,advanced,0
JOB000025,Python,programming,core,advanced,0
JOB000025,FastAPI,backend,core,advanced,0
JOB000025,Prompt Engineering,llm,strong,intermediate,1
JOB000025,Docker,platform,strong,intermediate,0
JOB000025,GCP,cloud,strong,intermediate,0
JOB000025,Vector Databases,llm,nice_to_have,basic,1
JOB000025,LLM Evaluation,llm,nice_to_have,basic,1
JOB000025,LangChain,llm,nice_to_have,basic,1
JOB000025,Structured Outputs,llm,nice_to_have,basic,1
JOB000025,OpenAI API,llm,nice_to_have,basic,1
JOB000026,Python,programming,core,advanced,0
JOB000026,SQL,analytics,core,advanced,0
JOB000026,dbt,data-platform,core,advanced,0
JOB000026,Kafka,data-platform,strong,intermediate,0
JOB000026,AWS,cloud,strong,intermediate,0
JOB000026,Airflow,data-platform,strong,intermediate,0
JOB000026,Spark,data-platform,nice_to_have,basic,0
JOB000027,Python,programming,core,advanced,0
JOB000027,Prompt Engineering,llm,core,advanced,1
JOB000027,Weaviate,llm,core,advanced,1
JOB000027,BigQuery,data-platform,strong,intermediate,0
JOB000027,Guardrails,llm,strong,intermediate,1
JOB000027,Vector Databases,llm,strong,intermediate,1
JOB000027,Gemini API,llm,nice_to_have,basic,1
JOB000027,Synthetic Data,llm,nice_to_have,basic,1
JOB000027,Transformers,ml,nice_to_have,basic,1
JOB000027,LLM Evaluation,llm,nice_to_have,basic,1
JOB000028,PyTorch,ml,core,advanced,0
JOB000028,Kubernetes,platform,core,advanced,0
JOB000028,Azure,cloud,core,advanced,0
JOB000028,Python,programming,strong,intermediate,0
JOB000028,CI/CD,platform,strong,intermediate,0
JOB000028,Airflow,data-platform,strong,intermediate,0
JOB000028,Docker,platform,nice_to_have,basic,0
JOB000029,dbt,data-platform,core,advanced,0
JOB000029,SQL,analytics,core,advanced,0
JOB000029,Data Modeling,analytics,core,advanced,0
JOB000029,Python,programming,strong,intermediate,0
JOB000029,Looker,bi,strong,intermediate,0
JOB000029,Snowflake,data-platform,strong,intermediate,0
JOB000029,GCP,cloud,nice_to_have,basic,0
JOB000029,Metrics Layer,analytics,nice_to_have,basic,0
JOB000030,Statistics,analytics,core,advanced,0
JOB000030,PyTorch,ml,core,advanced,0
JOB000030,SQL,analytics,core,advanced,0
JOB000030,Python,programming,strong,intermediate,0
JOB000030,scikit-learn,ml,strong,intermediate,0
JOB000030,AWS,cloud,strong,intermediate,0
JOB000030,Snowflake,data-platform,nice_to_have,basic,0
JOB000030,Causal Inference,analytics,nice_to_have,basic,0
JOB000030,Feature Engineering,ml,nice_to_have,basic,0
JOB000031,Python,programming,core,advanced,0
JOB000031,SQL,analytics,core,advanced,0
JOB000031,Pandas,analytics,core,advanced,0
JOB000031,Statistics,analytics,strong,intermediate,0
JOB000031,A/B Testing,analytics,strong,intermediate,0
JOB000031,XGBoost,ml,strong,intermediate,0
JOB000031,Experiment Design,analytics,nice_to_have,basic,0
JOB000031,Feature Engineering,ml,nice_to_have,basic,0
JOB000031,AWS,cloud,nice_to_have,basic,0
JOB000031,Jupyter,tooling,nice_to_have,basic,0
JOB000031,scikit-learn,ml,nice_to_have,basic,0
JOB000032,Python,programming,core,advanced,0
JOB000032,Statistics,analytics,core,advanced,0
JOB000032,SQL,analytics,core,advanced,0
JOB000032,Tableau,bi,strong,intermediate,0
JOB000032,Excel,bi,strong,intermediate,0
JOB000032,Pandas,analytics,strong,intermediate,0
JOB000032,GCP,cloud,nice_to_have,basic,0
JOB000032,Looker,bi,nice_to_have,basic,0
JOB000033,Python,programming,core,advanced,0
JOB000033,PyTorch,ml,core,advanced,0
JOB000033,Experiment Tracking,mlops,core,advanced,0
JOB000033,OpenAI API,llm,strong,intermediate,1
JOB000033,Scientific Writing,research,strong,intermediate,0
JOB000033,RLHF,llm,strong,intermediate,1
JOB000033,LLM Evaluation,llm,nice_to_have,basic,1
JOB000033,vLLM,llm,nice_to_have,basic,1
JOB000034,Python,programming,core,advanced,0
JOB000034,scikit-learn,ml,core,advanced,0
JOB000034,SQL,analytics,core,advanced,0
JOB000034,Pandas,analytics,strong,intermediate,0
JOB000034,Databricks,data-platform,strong,intermediate,0
JOB000034,Statistics,analytics,strong,intermediate,0
JOB000034,Feature Engineering,ml,nice_to_have,basic,0
JOB000034,A/B Testing,analytics,nice_to_have,basic,0
JOB000034,Experiment Design,analytics,nice_to_have,basic,0
JOB000035,A/B Testing,analytics,core,advanced,0
JOB000035,Databricks,data-platform,core,advanced,0
JOB000035,Excel,bi,core,advanced,0
JOB000035,Azure,cloud,strong,intermediate,0
JOB000035,Python,programming,strong,intermediate,0
JOB000035,Looker,bi,strong,intermediate,0
JOB000035,SQL,analytics,nice_to_have,basic,0
JOB000035,Pandas,analytics,nice_to_have,basic,0
JOB000036,Prompt Engineering,llm,core,advanced,1
JOB000036,Product Strategy,product,core,advanced,0
JOB000036,Roadmapping,product,core,advanced,0
JOB000036,Analytics,analytics,strong,intermediate,0
JOB000036,User Research,product,strong,intermediate,0
JOB000036,SQL,analytics,strong,intermediate,0
JOB000036,OpenAI API,llm,nice_to_have,basic,1
JOB000036,Experiment Design,analytics,nice_to_have,basic,0
JOB000037,MLflow,mlops,core,advanced,0
JOB000037,Python,programming,core,advanced,0
JOB000037,Docker,platform,core,advanced,0
JOB000037,Kubernetes,platform,strong,intermediate,0
JOB000037,Azure,cloud,strong,intermediate,0
JOB000037,Prometheus,platform,strong,intermediate,0
JOB000037,AWS,cloud,nice_to_have,basic,0
JOB000037,CI/CD,platform,nice_to_have,basic,0
JOB000037,GCP,cloud,nice_to_have,basic,0
JOB000037,Feature Store,mlops,nice_to_have,basic,0
JOB000038,Python,programming,core,advanced,0
JOB000038,PyTorch,ml,core,advanced,0
JOB000038,AWS,cloud,core,advanced,0
JOB000038,Deep Learning,ml,strong,intermediate,0
JOB000038,Gemini API,llm,strong,intermediate,1
JOB000038,Snowflake,data-platform,strong,intermediate,0
JOB000038,Scientific Writing,research,nice_to_have,basic,0
JOB000038,Weaviate,llm,nice_to_have,basic,1
JOB000039,AWS,cloud,core,advanced,0
JOB000039,User Research,product,core,advanced,0
JOB000039,Roadmapping,product,core,advanced,0
JOB000039,SQL,analytics,strong,intermediate,0
JOB000039,Product Strategy,product,strong,intermediate,0
JOB000039,Analytics,analytics,strong,intermediate,0
JOB000039,Prompt Engineering,llm,nice_to_have,basic,1
JOB000039,Experiment Design,analytics,nice_to_have,basic,0
JOB000039,Stakeholder Management,product,nice_to_have,basic,0
JOB000040,Gemini API,llm,core,advanced,1
JOB000040,Azure,cloud,core,advanced,0
JOB000040,Prompt Engineering,llm,core,advanced,1
JOB000040,Guardrails,llm,strong,intermediate,1
JOB000040,Fine-Tuning,llm,strong,intermediate,1
JOB000040,LLM Evaluation,llm,strong,intermediate,1
JOB000040,Synthetic Data,llm,nice_to_have,basic,1
JOB000040,Python,programming,nice_to_have,basic,0
JOB000040,Transformers,ml,nice_to_have,basic,1
JOB000041,scikit-learn,ml,core,advanced,0
JOB000041,XGBoost,ml,core,advanced,0
JOB000041,Statistics,analytics,core,advanced,0
JOB000041,Python,programming,strong,intermediate,0
JOB000041,SQL,analytics,strong,intermediate,0
JOB000041,Pandas,analytics,strong,intermediate,0
JOB000041,Experiment Design,analytics,nice_to_have,basic,0
JOB000041,Feature Engineering,ml,nice_to_have,basic,0
JOB000041,Azure,cloud,nice_to_have,basic,0
JOB000041,Jupyter,tooling,nice_to_have,basic,0
JOB000041,A/B Testing,analytics,nice_to_have,basic,0
JOB000042,XGBoost,ml,core,advanced,0
JOB000042,SQL,analytics,core,advanced,0
JOB000042,Azure,cloud,core,advanced,0
JOB000042,Jupyter,tooling,strong,intermediate,0
JOB000042,Feature Engineering,ml,strong,intermediate,0
JOB000042,scikit-learn,ml,strong,intermediate,0
JOB000042,A/B Testing,analytics,nice_to_have,basic,0
JOB000042,Experiment Design,analytics,nice_to_have,basic,0
JOB000042,Databricks,data-platform,nice_to_have,basic,0
JOB000042,Statistics,analytics,nice_to_have,basic,0
JOB000042,Python,programming,nice_to_have,basic,0
JOB000043,AWS,cloud,core,advanced,0
JOB000043,Python,programming,core,advanced,0
JOB000043,Prometheus,platform,core,advanced,0
JOB000043,Azure,cloud,strong,intermediate,0
JOB000043,Docker,platform,strong,intermediate,0
JOB000043,Terraform,platform,strong,intermediate,0
JOB000044,Causal Inference,analytics,core,advanced,0
JOB000044,Statistics,analytics,core,advanced,0
JOB000044,Python,programming,core,advanced,0
JOB000044,Databricks,data-platform,strong,intermediate,0
JOB000044,PyTorch,ml,strong,intermediate,0
JOB000044,Experiment Design,analytics,strong,intermediate,0
JOB000045,Python,programming,core,advanced,0
JOB000045,FastAPI,backend,core,advanced,0
JOB000045,RAG,llm,core,advanced,1
JOB000045,Docker,platform,strong,intermediate,0
JOB000045,LLM Evaluation,llm,strong,intermediate,1
JOB000045,Prompt Engineering,llm,strong,intermediate,1
JOB000045,Vector Databases,llm,nice_to_have,basic,1
JOB000045,API Design,backend,nice_to_have,basic,0
JOB000046,BigQuery,data-platform,core,advanced,0
JOB000046,Kubernetes,platform,core,advanced,0
JOB000046,CI/CD,platform,core,advanced,0
JOB000046,Terraform,platform,strong,intermediate,0
JOB000046,Azure,cloud,strong,intermediate,0
JOB000046,GCP,cloud,strong,intermediate,0
JOB000046,MLflow,mlops,nice_to_have,basic,0
JOB000046,Model Monitoring,mlops,nice_to_have,basic,0
JOB000046,Prometheus,platform,nice_to_have,basic,0
JOB000046,Python,programming,nice_to_have,basic,0
JOB000046,Docker,platform,nice_to_have,basic,0
JOB000047,Python,programming,core,advanced,0
JOB000047,Git,tooling,core,advanced,0
JOB000047,Metrics Layer,analytics,core,advanced,0
JOB000047,SQL,analytics,strong,intermediate,0
JOB000047,Looker,bi,strong,intermediate,0
JOB000047,dbt,data-platform,strong,intermediate,0
JOB000047,BigQuery,data-platform,nice_to_have,basic,0
JOB000047,Data Modeling,analytics,nice_to_have,basic,0
JOB000048,dbt,data-platform,core,advanced,0
JOB000048,SQL,analytics,core,advanced,0
JOB000048,Azure,cloud,core,advanced,0
JOB000048,Data Modeling,analytics,strong,intermediate,0
JOB000048,Metrics Layer,analytics,strong,intermediate,0
JOB000048,BigQuery,data-platform,strong,intermediate,0
JOB000048,Python,programming,nice_to_have,basic,0
JOB000048,Snowflake,data-platform,nice_to_have,basic,0
JOB000048,Git,tooling,nice_to_have,basic,0
JOB000048,Databricks,data-platform,nice_to_have,basic,0
JOB000048,Looker,bi,nice_to_have,basic,0
JOB000049,SQL,analytics,core,advanced,0
JOB000049,Spark,data-platform,core,advanced,0
JOB000049,Kafka,data-platform,core,advanced,0
JOB000049,Python,programming,strong,intermediate,0
JOB000049,dbt,data-platform,strong,intermediate,0
JOB000049,Snowflake,data-platform,strong,intermediate,0
JOB000049,Data Modeling,analytics,nice_to_have,basic,0
JOB000049,BigQuery,data-platform,nice_to_have,basic,0
JOB000049,Azure,cloud,nice_to_have,basic,0
JOB000049,Airflow,data-platform,nice_to_have,basic,0
JOB000049,Databricks,data-platform,nice_to_have,basic,0
JOB000050,Python,programming,core,advanced,0
JOB000050,Docker,platform,core,advanced,0
JOB000050,Kubernetes,platform,core,advanced,0
JOB000050,Prometheus,platform,strong,intermediate,0
JOB000050,MLflow,mlops,strong,intermediate,0
JOB000050,Azure,cloud,strong,intermediate,0
JOB000050,Feature Store,mlops,nice_to_have,basic,0
JOB000050,GCP,cloud,nice_to_have,basic,0
JOB000051,PyTorch,ml,core,advanced,0
JOB000051,Causal Inference,analytics,core,advanced,0
JOB000051,Feature Engineering,ml,core,advanced,0
JOB000051,scikit-learn,ml,strong,intermediate,0
JOB000051,Experiment Design,analytics,strong,intermediate,0
JOB000051,Statistics,analytics,strong,intermediate,0
JOB000051,Azure,cloud,nice_to_have,basic,0
JOB000051,Databricks,data-platform,nice_to_have,basic,0
JOB000051,Python,programming,nice_to_have,basic,0
JOB000052,Python,programming,core,advanced,0
JOB000052,Azure,cloud,core,advanced,0
JOB000052,A/B Testing,analytics,core,advanced,0
JOB000052,Statistics,analytics,strong,intermediate,0
JOB000052,Pandas,analytics,strong,intermediate,0
JOB000052,SQL,analytics,strong,intermediate,0
JOB000052,Tableau,bi,nice_to_have,basic,0
JOB000052,Excel,bi,nice_to_have,basic,0
JOB000053,GCP,cloud,core,advanced,0
JOB000053,Spark,data-platform,core,advanced,0
JOB000053,Python,programming,core,advanced,0
JOB000053,CI/CD,platform,strong,intermediate,0
JOB000053,Kubernetes,platform,strong,intermediate,0
JOB000053,Airflow,data-platform,strong,intermediate,0
JOB000053,Azure,cloud,nice_to_have,basic,0
JOB000053,Feature Store,mlops,nice_to_have,basic,0
JOB000053,PyTorch,ml,nice_to_have,basic,0
JOB000053,Docker,platform,nice_to_have,basic,0
JOB000053,AWS,cloud,nice_to_have,basic,0
JOB000054,SQL,analytics,core,advanced,0
JOB000054,Snowflake,data-platform,core,advanced,0
JOB000054,Looker,bi,core,advanced,0
JOB000054,Python,programming,strong,intermediate,0
JOB000054,dbt,data-platform,strong,intermediate,0
JOB000054,Data Modeling,analytics,strong,intermediate,0
JOB000055,Pandas,analytics,core,advanced,0
JOB000055,Feature Engineering,ml,core,advanced,0
JOB000055,A/B Testing,analytics,core,advanced,0
JOB000055,AWS,cloud,strong,intermediate,0
JOB000055,Statistics,analytics,strong,intermediate,0
JOB000055,Jupyter,tooling,strong,intermediate,0
JOB000055,XGBoost,ml,nice_to_have,basic,0
JOB000055,SQL,analytics,nice_to_have,basic,0
JOB000055,Python,programming,nice_to_have,basic,0
JOB000055,Experiment Design,analytics,nice_to_have,basic,0
JOB000056,Python,programming,core,advanced,0
JOB000056,GCP,cloud,core,advanced,0
JOB000056,BigQuery,data-platform,core,advanced,0
JOB000056,Snowflake,data-platform,strong,intermediate,0
JOB000056,Azure,cloud,strong,intermediate,0
JOB000056,SQL,analytics,strong,intermediate,0
JOB000056,dbt,data-platform,nice_to_have,basic,0
JOB000057,Experiment Design,analytics,core,advanced,0
JOB000057,SQL,analytics,core,advanced,0
JOB000057,GCP,cloud,core,advanced,0
JOB000057,PyTorch,ml,strong,intermediate,0
JOB000057,scikit-learn,ml,strong,intermediate,0
JOB000057,Statistics,analytics,strong,intermediate,0
JOB000057,XGBoost,ml,nice_to_have,basic,0
JOB000057,Feature Engineering,ml,nice_to_have,basic,0
JOB000057,Python,programming,nice_to_have,basic,0
JOB000057,Causal Inference,analytics,nice_to_have,basic,0
JOB000058,Python,programming,core,advanced,0
JOB000058,PyTorch,ml,core,advanced,0
JOB000058,GCP,cloud,core,advanced,0
JOB000058,Docker,platform,strong,intermediate,0
JOB000058,Azure,cloud,strong,intermediate,0
JOB000058,Spark,data-platform,strong,intermediate,0
JOB000058,Feature Store,mlops,nice_to_have,basic,0
JOB000058,Databricks,data-platform,nice_to_have,basic,0
JOB000059,FastAPI,backend,core,advanced,0
JOB000059,RAG,llm,core,advanced,1
JOB000059,Docker,platform,core,advanced,0
JOB000059,Prompt Engineering,llm,strong,intermediate,1
JOB000059,LLM Evaluation,llm,strong,intermediate,1
JOB000059,Gemini API,llm,strong,intermediate,1
JOB000059,Weaviate,llm,nice_to_have,basic,1
JOB000059,Structured Outputs,llm,nice_to_have,basic,1
JOB000059,Python,programming,nice_to_have,basic,0
JOB000059,LangChain,llm,nice_to_have,basic,1
JOB000060,Looker,bi,core,advanced,0
JOB000060,Pandas,analytics,core,advanced,0
JOB000060,Python,programming,core,advanced,0
JOB000060,Excel,bi,strong,intermediate,0
JOB000060,GCP,cloud,strong,intermediate,0
JOB000060,Statistics,analytics,strong,intermediate,0
JOB000060,SQL,analytics,nice_to_have,basic,0
JOB000061,Statistics,analytics,core,advanced,0
JOB000061,Pandas,analytics,core,advanced,0
JOB000061,SQL,analytics,core,advanced,0
JOB000061,BigQuery,data-platform,strong,intermediate,0
JOB000061,Tableau,bi,strong,intermediate,0
JOB000061,Looker,bi,strong,intermediate,0
JOB000061,GCP,cloud,nice_to_have,basic,0
JOB000061,Excel,bi,nice_to_have,basic,0
JOB000061,Python,programming,nice_to_have,basic,0
JOB000062,PyTorch,ml,core,advanced,0
JOB000062,Python,programming,core,advanced,0
JOB000062,Airflow,data-platform,core,advanced,0
JOB000062,AWS,cloud,strong,intermediate,0
JOB000062,Kubernetes,platform,strong,intermediate,0
JOB000062,TensorFlow,ml,strong,intermediate,0
JOB000062,CI/CD,platform,nice_to_have,basic,0
JOB000063,Azure,cloud,core,advanced,0
JOB000063,Power BI,bi,core,advanced,0
JOB000063,SQL,analytics,core,advanced,0
JOB000063,Excel,bi,strong,intermediate,0
JOB000063,Stakeholder Management,product,strong,intermediate,0
JOB000063,Tableau,bi,strong,intermediate,0
JOB000063,Looker,bi,nice_to_have,basic,0
JOB000064,Python,programming,core,advanced,0
JOB000064,SQL,analytics,core,advanced,0
JOB000064,GCP,cloud,core,advanced,0
JOB000064,BigQuery,data-platform,strong,intermediate,0
JOB000064,XGBoost,ml,strong,intermediate,0
JOB000064,Pandas,analytics,strong,intermediate,0
JOB000064,A/B Testing,analytics,nice_to_have,basic,0
JOB000064,Jupyter,tooling,nice_to_have,basic,0
JOB000064,Statistics,analytics,nice_to_have,basic,0
JOB000064,Experiment Design,analytics,nice_to_have,basic,0
JOB000065,SQL,analytics,core,advanced,0
JOB000065,Looker,bi,core,advanced,0
JOB000065,Python,programming,core,advanced,0
JOB000065,Pandas,analytics,strong,intermediate,0
